Title,glide gscore,RMSD
decoy,-10.839,9.486
decoy,-10.631,8.912
decoy,-10.556,8.851
decoy,-10.558,13.213
decoy,-10.489,8.47
decoy,-10.675,8.744
decoy,-10.57,8.523
decoy,-10.446,11.015
decoy,-10.397,10.665
decoy,-10.388,9.477
decoy,-11.007,11.083
decoy,-10.346,9.229
decoy,-10.272,8.207
decoy,-10.29,10.634
decoy,-10.389,9.008
decoy,-10.117,9.841
decoy,-10.053,10.358
decoy,-10.771,8.922
decoy,-10.049,8.84
decoy,-9.99,7.975
decoy,-9.96,10.268
CHEMBL4740029,-9.954,10.274
decoy,-9.954,10.192
decoy,-9.943,7.745
decoy,-9.929,9.062
decoy,-9.884,10.238
decoy,-10.542,10.389
decoy,-9.828,8.892
decoy,-9.789,11.577
CHEMBL4741889,-9.775,9.596
decoy,-9.771,10.479
decoy,-9.77,8.19
decoy,-9.766,11.439
decoy,-10,11.272
decoy,-9.751,10.068
decoy,-11.592,10.866
decoy,-9.735,11.778
decoy,-9.734,8.112
decoy,-9.717,10.121
decoy,-9.708,10.463
decoy,-9.709,8.61
decoy,-9.695,8.757
decoy,-9.695,11.059
decoy,-9.743,7.21
decoy,-9.691,8.522
decoy,-9.667,9.585
decoy,-9.66,7.76
decoy,-9.656,8.132
CHEMBL4435985,-9.642,9.116
decoy,-9.642,9.215
decoy,-9.711,7.834
decoy,-9.623,7.522
decoy,-9.623,7.846
decoy,-9.572,9.244
decoy,-9.572,11.382
decoy,-9.563,4.979
decoy,-9.559,7.979
decoy,-10.701,6.96
decoy,-9.532,9.053
decoy,-9.581,9.725
decoy,-9.523,9.165
decoy,-9.523,9.656
CHEMBL4448763,-9.518,8.447
decoy,-9.518,8.58
decoy,-9.51,9.049
decoy,-10.481,9.676
decoy,-9.502,6.907
decoy,-9.491,10.884
decoy,-9.49,10.894
decoy,-9.873,9.427
decoy,-9.633,10.091
decoy,-9.474,9.012
CHEMBL4752560,-9.461,9.474
CHEMBL4582016,-9.455,8.589
decoy,-9.455,8.536
decoy,-9.454,7.488
decoy,-9.453,10.41
decoy,-9.816,8.793
decoy,-9.437,9.666
decoy,-10.223,8.724
decoy,-9.427,7.539
decoy,-9.418,8.383
decoy,-9.41,7.13
decoy,-9.536,9.473
decoy,-9.405,9.634
decoy,-9.506,9.068
decoy,-9.388,7.245
decoy,-9.382,8.256
decoy,-9.373,7.45
decoy,-9.653,10.006
decoy,-10.042,9.95
decoy,-9.359,9.399
decoy,-9.375,9.101
decoy,-9.345,9.509
decoy,-9.599,9.767
decoy,-9.343,10.756
CHEMBL4745847,-9.327,9.449
decoy,-9.327,9.396
decoy,-9.321,10.35
decoy,-9.313,10.162
decoy,-9.311,7.303
decoy,-9.31,10.7
decoy,-9.305,6.053
CHEMBL4754723,-9.305,8.738
decoy,-9.305,9.984
decoy,-9.304,7.777
decoy,-9.295,10.058
decoy,-9.299,9.7
decoy,-9.292,8.694
decoy,-9.701,9.879
decoy,-9.285,9.942
decoy,-9.458,8.584
decoy,-9.275,8.697
decoy,-9.574,11.219
decoy,-9.272,7.273
decoy,-9.263,10.323
decoy,-9.261,9.522
decoy,-9.256,6.354
decoy,-9.251,9.077
decoy,-9.247,8.962
decoy,-9.245,11.045
decoy,-9.241,8.791
decoy,-9.364,9.473
decoy,-9.236,9.058
decoy,-9.234,9.366
decoy,-9.234,12.308
decoy,-9.23,9.741
CHEMBL4749928,-9.221,9.992
decoy,-10.271,8.716
decoy,-9.219,9.969
decoy,-9.219,9.561
CHEMBL4751565,-9.216,9.538
decoy,-9.216,9.5
decoy,-9.216,10.427
decoy,-9.821,8.289
decoy,-9.202,9.983
decoy,-9.202,7.338
decoy,-9.196,9.784
decoy,-9.196,9.238
decoy,-9.222,7.538
decoy,-9.192,7.186
decoy,-9.186,9.444
decoy,-9.188,10.998
decoy,-9.232,8.529
decoy,-9.163,8.742
decoy,-9.158,7.903
decoy,-9.86,9.588
decoy,-9.153,9.527
decoy,-9.15,9.639
decoy,-9.149,8.667
decoy,-9.149,9.368
decoy,-9.153,8.947
CHEMBL4787586,-9.145,9.656
decoy,-9.145,9.651
decoy,-9.298,10.247
CHEMBL4746860,-9.135,9.384
decoy,-9.135,9.171
decoy,-9.133,10.374
decoy,-9.133,9.08
decoy,-9.141,8.66
decoy,-9.13,8.461
decoy,-9.122,8.955
decoy,-9.122,7.918
decoy,-9.13,10.004
decoy,-9.12,10.397
decoy,-9.398,11.075
decoy,-9.118,9.368
decoy,-9.116,10.013
decoy,-9.116,9.738
decoy,-9.191,7.486
CHEMBL4796632,-9.11,8.578
decoy,-9.11,7.936
decoy,-9.105,8.421
decoy,-9.1,10.836
decoy,-10.188,9.441
decoy,-9.089,6.7
decoy,-9.118,8.922
decoy,-9.086,9.347
decoy,-9.076,6.738
decoy,-9.103,7.918
decoy,-9.062,6.469
decoy,-9.075,8.037
decoy,-9.051,9.56
decoy,-9.042,9.858
decoy,-9.125,10.334
decoy,-9.03,9.67
decoy,-9.028,9.76
decoy,-9.125,9.269
decoy,-9.026,11.374
decoy,-9.022,9.328
decoy,-9.017,9.198
decoy,-9.015,8.611
decoy,-9.015,7.82
decoy,-9.009,6.764
decoy,-8.999,8.809
decoy,-9.404,9.936
decoy,-8.993,8
decoy,-9.001,10.821
decoy,-8.991,8.801
decoy,-8.99,11.331
decoy,-9.488,7.348
decoy,-8.985,9.24
decoy,-8.984,10.222
CHEMBL4744180,-8.984,10.45
decoy,-8.984,10.376
decoy,-8.983,10.357
decoy,-8.975,8.395
decoy,-8.975,9.63
decoy,-8.969,9.741
decoy,-8.988,10.12
decoy,-8.964,7.716
decoy,-8.969,7.56
decoy,-8.961,8.178
decoy,-8.961,7.587
decoy,-9.259,10.171
decoy,-10.44,8.646
decoy,-8.954,7.522
decoy,-8.953,9.85
decoy,-8.954,9.56
decoy,-9.092,6.841
decoy,-8.958,6.211
decoy,-8.95,9.748
decoy,-8.974,9.542
decoy,-8.942,9.775
decoy,-8.927,8.987
decoy,-8.925,7.034
decoy,-8.924,6.437
decoy,-8.923,8.978
decoy,-8.917,7.195
decoy,-8.915,8.778
decoy,-8.912,8.662
decoy,-8.911,9.221
decoy,-8.917,6.638
decoy,-8.906,5.985
decoy,-8.904,9.181
decoy,-8.902,10.931
decoy,-8.899,6.57
decoy,-9.021,9.572
decoy,-9.041,8.291
decoy,-9.015,9.519
decoy,-8.876,10.069
decoy,-9.16,9.77
decoy,-8.882,10.118
decoy,-8.875,7.531
decoy,-8.873,8.758
decoy,-8.87,8.938
decoy,-8.869,10.447
decoy,-8.864,9.07
decoy,-8.99,9.547
decoy,-8.86,9.567
decoy,-8.856,9.727
decoy,-8.857,8.513
decoy,-9.264,10.127
decoy,-8.849,8.097
decoy,-8.846,7.243
decoy,-8.843,6.923
decoy,-8.84,9.051
decoy,-8.836,7.243
decoy,-8.852,8.462
decoy,-8.883,6.49
decoy,-8.826,8.852
decoy,-8.825,8.832
decoy,-8.825,9.478
decoy,-8.824,7.782
CHEMBL4528570,-8.824,8.799
decoy,-8.824,8.822
decoy,-8.875,7.795
CHEMBL4516452,-8.822,8.687
CHEMBL4516452,-8.822,8.687
decoy,-8.822,7.059
decoy,-8.822,7.059
decoy,-8.821,9.478
MBX3132,-8.821,10.121
decoy,-8.857,10.894
decoy,-8.818,10.178
decoy,-8.813,8.287
decoy,-8.908,7.16
decoy,-8.855,9.551
decoy,-8.811,10.036
decoy,-8.834,9.466
decoy,-8.805,8.929
decoy,-11.243,10.481
decoy,-8.802,10.052
decoy,-9.021,9.29
decoy,-8.799,10.913
decoy,-8.797,9.11
decoy,-8.796,9.114
decoy,-8.793,9.095
decoy,-8.791,8.147
decoy,-8.849,8.848
decoy,-8.784,9.711
decoy,-9.333,10.568
decoy,-9.192,8.428
decoy,-8.788,10.69
decoy,-8.778,7.941
decoy,-8.777,6.73
decoy,-8.777,6.164
decoy,-9.014,10.675
decoy,-8.776,9.154
decoy,-8.775,7.123
decoy,-8.779,10.043
decoy,-8.77,7.963
CHEMBL4752288,-8.77,9.078
decoy,-8.768,9.803
decoy,-9.312,9.324
decoy,-8.767,8.486
decoy,-8.767,10.813
decoy,-8.763,8.704
decoy,-8.77,8.857
decoy,-8.769,8.299
decoy,-8.757,9.133
decoy,-8.757,7.989
decoy,-8.751,10.257
decoy,-8.75,10.34
decoy,-8.747,9.563
decoy,-8.747,11.23
decoy,-8.746,8.445
CHEMBL4740685,-8.746,9.159
decoy,-8.746,9.309
decoy,-8.745,7.688
decoy,-8.744,11.026
decoy,-8.742,8.334
decoy,-8.743,8.534
decoy,-8.741,9.293
decoy,-8.932,8.247
decoy,-8.738,8.587
decoy,-8.738,11.749
decoy,-8.736,8.724
decoy,-8.748,11.481
decoy,-8.768,9.044
decoy,-8.735,10.484
decoy,-8.735,8.485
decoy,-8.724,9.227
CHEMBL4780061,-8.721,10.252
decoy,-8.721,8.77
decoy,-8.72,6.368
decoy,-8.786,9.531
decoy,-8.717,9.734
decoy,-8.715,10.447
decoy,-8.713,9.496
decoy,-8.83,11.242
decoy,-11.399,8.946
decoy,-8.715,6.513
decoy,-8.708,8.761
decoy,-8.706,8.467
decoy,-8.705,7.308
decoy,-8.705,8.734
decoy,-8.704,7.077
decoy,-8.703,10.327
decoy,-8.702,8.888
decoy,-8.7,8.18
decoy,-8.698,9.241
decoy,-8.698,10.023
decoy,-8.698,6.394
decoy,-8.698,8.741
decoy,-8.87,10.142
decoy,-8.979,11.269
decoy,-8.694,9.586
decoy,-8.693,6.323
decoy,-8.692,9.611
decoy,-8.692,8.02
CHEMBL4464070,-8.692,10.49
CHEMBL4747765,-8.692,10.49
decoy,-8.691,6.219
decoy,-9.613,9.573
decoy,-8.686,10.56
decoy,-8.687,10.45
decoy,-8.682,10.126
decoy,-8.7,8.715
decoy,-8.679,8.238
decoy,-8.678,7.854
decoy,-8.787,10.572
decoy,-8.678,7.596
decoy,-8.676,8.21
decoy,-8.675,9.715
decoy,-8.672,10.29
decoy,-8.664,5.809
decoy,-8.661,7.565
decoy,-8.661,7.565
decoy,-8.773,8.464
decoy,-8.655,9.752
decoy,-8.654,7.334
decoy,-8.651,8.376
decoy,-8.65,8.232
decoy,-8.649,10.139
decoy,-8.649,10.296
decoy,-8.648,9.21
decoy,-8.645,10.104
