Title,glide gscore,RMSD
decoy,-12.256,7.249
decoy,-12.212,8.916
CHEMBL4740029,-11.865,7.788
decoy,-11.865,7.285
MBX3135_5ENR,-11.703,7.078
decoy,-11.56,8.121
decoy,-11.4,7.813
decoy,-11.326,7.576
decoy,-11.338,8.323
MBX3132,-11.249,7.586
decoy,-11.225,8.533
decoy,-11.159,7.127
decoy,-11.057,7.29
decoy,-11.056,8.72
decoy,-10.969,8.228
decoy,-11.316,8.659
decoy,-11.217,8.479
decoy,-11.045,7.479
decoy,-10.912,9.501
decoy,-10.907,8.787
decoy,-10.904,9.078
decoy,-10.897,8.41
decoy,-10.856,7.163
decoy,-11.542,8.399
MBX3135,-10.94,6.688
decoy,-10.787,8.215
decoy,-10.754,8.822
decoy,-12.08,8.385
CHEMBL4746860,-10.746,7.628
decoy,-10.746,6.727
decoy,-10.728,9.779
decoy,-10.748,9.443
decoy,-10.921,6.908
decoy,-10.671,7.509
decoy,-10.67,7.877
decoy,-10.661,8.13
decoy,-10.682,8.121
decoy,-11.324,7.069
CHEMBL4745847,-10.648,8.146
decoy,-10.648,6.691
decoy,-10.63,7.657
CHEMBL4754723,-10.619,5.929
decoy,-10.619,6.343
decoy,-10.611,8.31
decoy,-10.868,7.128
decoy,-10.597,7.428
decoy,-10.61,6.964
decoy,-10.593,7.607
decoy,-10.793,6.402
decoy,-11.549,8.367
decoy,-10.574,8.168
decoy,-10.571,8.065
decoy,-10.553,9.772
decoy,-11.711,8.766
decoy,-10.528,7.81
decoy,-10.514,7.46
decoy,-10.561,6.729
CHEMBL4752560,-10.509,7.09
decoy,-10.502,7.222
decoy,-10.491,7.13
decoy,-10.516,7.309
decoy,-10.486,7.013
decoy,-10.479,9.155
decoy,-10.686,6.027
decoy,-10.602,8.787
decoy,-10.508,9.152
decoy,-10.458,7.818
decoy,-10.454,10.058
decoy,-10.456,8.105
decoy,-10.451,7.57
decoy,-10.451,9.293
decoy,-10.443,7.598
decoy,-10.441,7.021
decoy,-10.437,7.853
decoy,-10.434,7.18
decoy,-10.407,8.797
decoy,-10.422,8.074
decoy,-10.458,8.438
decoy,-10.38,8.215
decoy,-10.648,7.759
CHEMBL4751565,-10.375,7.017
decoy,-10.374,8.69
decoy,-10.406,8.054
decoy,-10.368,7.638
CHEMBL4787586,-10.364,9.08
decoy,-10.364,8.422
decoy,-10.354,6.421
decoy,-10.346,7.438
decoy,-10.34,8.317
decoy,-10.331,7.926
decoy,-10.547,8.817
decoy,-11.626,7.204
decoy,-10.324,7.634
decoy,-10.323,7.23
CHEMBL4739934,-10.301,6.484
decoy,-10.298,9.989
decoy,-10.297,8.157
decoy,-10.291,7.15
decoy,-10.291,7.62
decoy,-10.281,6.723
decoy,-10.28,7.945
decoy,-10.267,9.243
decoy,-10.258,8.599
CHEMBL4752573,-10.256,6.949
decoy,-10.426,8.554
decoy,-10.347,8.244
decoy,-10.66,7.874
decoy,-10.245,9.824
decoy,-11.721,8.274
decoy,-10.224,7.98
decoy,-10.223,6.665
decoy,-10.223,7.525
decoy,-10.221,9.558
decoy,-10.216,8.686
decoy,-10.216,7.472
decoy,-10.207,8.352
decoy,-10.197,7.485
decoy,-10.601,7.351
decoy,-11.462,8.842
decoy,-10.191,7.734
decoy,-10.173,8.767
decoy,-10.533,7.535
decoy,-10.157,8.4
decoy,-10.235,8.352
decoy,-10.151,8.29
decoy,-10.147,9.191
decoy,-10.147,7.944
CHEMBL4752288,-10.144,7.092
decoy,-10.143,7.138
decoy,-10.139,8.777
decoy,-10.136,7.123
decoy,-10.135,8.354
decoy,-10.133,7.996
decoy,-10.133,7.601
decoy,-10.125,8.222
decoy,-10.116,6.628
decoy,-10.196,9.201
decoy,-10.145,7.349
decoy,-10.104,6.421
decoy,-10.098,7.786
decoy,-10.094,7.642
decoy,-10.09,7.603
decoy,-10.084,8.642
decoy,-10.189,7.421
decoy,-11.38,8.898
decoy,-10.069,8.492
decoy,-10.064,9.336
decoy,-10.059,7.384
decoy,-10.059,7.476
decoy,-10.059,9.142
decoy,-10.425,9.343
decoy,-10.053,7.218
decoy,-10.054,7.694
decoy,-10.05,8.082
decoy,-10.043,7.917
decoy,-10.036,9.174
decoy,-10.274,7.802
decoy,-10.021,8.419
decoy,-10.019,8.555
decoy,-10.36,8.139
decoy,-10.021,8.687
decoy,-10.463,8.218
CHEMBL4743452,-10.013,6.242
decoy,-10.011,6.986
decoy,-10.073,8.084
CHEMBL4749653,-9.998,7.199
decoy,-9.998,7.093
CHEMBL4744180,-9.997,7.393
decoy,-9.997,7.411
decoy,-9.998,7.766
