Title,glide gscore,RMSD
decoy,-9.165,8.333
decoy,-8.634,7.621
decoy,-8.559,8.204
decoy,-8.451,7.657
decoy,-8.436,11.16
decoy,-9.345,9.404
decoy,-8.367,6.553
decoy,-8.321,7.577
decoy,-8.295,8.605
decoy,-8.51,8.119
decoy,-8.261,8.742
decoy,-8.214,10.442
decoy,-8.204,9.525
CHEMBL4740029,-8.178,5.996
decoy,-8.178,9.105
decoy,-8.146,11.617
decoy,-8.192,7.614
decoy,-8.101,6.669
decoy,-8.093,8.203
decoy,-8.114,7.383
decoy,-8.075,9.343
decoy,-8.471,8.524
decoy,-8.072,7.17
decoy,-8.058,7.692
decoy,-8.003,9.259
decoy,-7.999,8.396
decoy,-7.978,8.435
decoy,-8.756,7.811
decoy,-7.915,8.093
decoy,-7.897,7.625
decoy,-7.978,7.396
decoy,-7.894,6.742
decoy,-7.889,6.284
decoy,-7.887,7.812
decoy,-7.909,8.875
decoy,-7.99,7.502
decoy,-8.149,7.663
decoy,-7.854,7.34
decoy,-7.909,7.533
decoy,-7.831,7.246
decoy,-7.852,8.699
decoy,-7.812,7.935
decoy,-8.013,6.504
decoy,-7.799,6.521
decoy,-7.796,7.223
decoy,-7.792,7.515
decoy,-7.771,8.575
decoy,-7.766,10.367
decoy,-8.044,9.32
decoy,-7.755,7.432
decoy,-7.753,8.342
decoy,-7.822,7.627
decoy,-7.722,7.424
decoy,-7.803,8.897
decoy,-7.682,7.041
decoy,-7.679,8.81
decoy,-7.668,7.578
decoy,-7.678,7.563
decoy,-7.653,8.063
decoy,-7.737,7.627
decoy,-7.589,7.728
decoy,-7.582,6.586
decoy,-7.579,10.152
decoy,-7.562,9.32
CHEMBL4746860,-7.56,6.193
decoy,-7.56,8.902
decoy,-7.839,10.196
decoy,-7.583,8.728
decoy,-7.549,6.289
decoy,-7.532,6.709
decoy,-7.653,8.848
doxorubicin,-7.556,5.409
decoy,-7.536,6.98
decoy,-7.51,9.376
decoy,-7.508,6.584
decoy,-7.494,6.922
decoy,-7.488,9.455
decoy,-7.504,8.982
decoy,-7.48,5.488
CHEMBL4754723,-7.48,7.625
decoy,-7.48,8.363
decoy,-7.67,6.687
decoy,-7.475,9.461
decoy,-7.462,7.214
decoy,-7.46,7.332
decoy,-7.458,9.394
decoy,-7.452,8.626
decoy,-7.435,9.17
decoy,-7.426,7.617
decoy,-7.445,7.963
decoy,-7.554,7.539
decoy,-7.448,7.311
decoy,-7.404,7.682
CHEMBL4745847,-7.404,5.752
decoy,-7.404,9.206
decoy,-7.4,8.992
decoy,-7.4,8.693
decoy,-7.469,8.008
decoy,-7.397,8.887
decoy,-7.397,8.176
decoy,-7.8,6.134
decoy,-7.389,10.732
decoy,-7.463,7.046
decoy,-7.383,8.763
