"CC(C)[NH2+]CCOc1ccc2c(c1)OC(CC2=O)(C)C	10	P10000001"
"C[C@@H]1C[C@@H](C[NH+](C1)CC(=O)N[C@@](C)(C#N)C2CC2)C	C07016298	P11024933"
"Cc1cc(c(c(c1)Oc2c(c(nn2C)C)C[NH2+]C)C)C	C34664867	P51694040"
"CC[NH2+][C@@H](C)c1ccc(cc1)n2c3ccccc3nn2	C34841842	P51703707"
"c1cc(c(c(c1)Cl)n2cc[nH+]c2)NC[C@@H]3CCOC3	C36920549	P54888923"
"Cc1cc(c(o1)C)[C@H](C)Nc2ccc([nH+]c2)N(C)C	C36989151	P54983246"
"CC(C)[NH+]1CC[C@@H](C1)CNc2c(nsn2)Cl	C45140367	P68023983"
"CC(C)C[NH+]1CCC(CC1)Nc2cncc(n2)Cl	C48893095	P73049573"
"C[C@@H](CNc1cncc(n1)Cl)[NH+]2CCCCCC2	C48893355	P73049833"
"C[C@@H]1CCC[NH+](C1)C(C)(C)CNC(=O)C(C)(C)C#N	C48920247	P73088031"
"C[C@H](C(=O)N[C@@H]1CCCC[C@@H]1C(C)(C)C)n2cc[nH+]c2	C49215506	P73530796"
"CNc1c(nns1)C[NH+]2CCC[C@H]2C3CCCC3	C50815632	P76026205"
"CC(C)c1ncc(c(n1)C[NH2+]C)N2CCCCCC2	C51400089	P77002722"
"Cc1nccn1c2ccc(c(n2)C[NH2+]C(C)(C)C)Cl	C51491022	P77150572"
"CCc1c(nn(c1C)c2ccc(c(n2)C[NH2+]C)Cl)C	C51494213	P77154020"
"CNc1cc(cc[nH+]1)CSc2nc3ccccc3o2	C52756149	P79057045"
"c1ccn2c(c1)[nH+]c(cc2=O)CNC[C@@H]3CCC=CC3	C54347209	P81781824"
"CC[NH2+][C@H](C)c1cnc(nc1C)N2CCCCCC2	C54962933	P82751285"
"CC(C)CN1CCN(CC1)C(=O)C[C@H]2CCCC[NH2+]2	C55082540	P82977147"
"Cc1ccc(cc1)NC(=O)CCc2c([nH+]n(c2C)C)C	C10507920	P86431963"
"CC(C)(C)c1cnc(o1)CN(C)C2C[C@H]3CC[C@@H](C2)[NH2+]3	C40747001	P88219420"
"C[C@H](c1cc2ccccc2o1)N[C@H](C)c3[nH+]ccn3C	C70444453	P108620138"
"CCc1cc2c(ncnc2s1)N3CC[C@@H](C3)C[NH2+]C	C71147953	P109821135"
"Cc1ccc(cc1)c2nc(co2)CN(C)[C@H]3CC[NH2+]C3	C71310893	P110238155"
"CC[NH+]1CC[C@@H](C[C@@H]1C)N(C)C(=O)NCC(F)(F)F	C76091915	P118657835"
"Cc1c(oc(n1)C[NH+]2CC[C@@H](C2)Nc3ccccc3)C	C76758290	P119736182"
"Cc1c(c(on1)C)C[C@@H](C)/[NH+]=C/c2ccccc2O	C78022738	P121728000"
"CC[C@H]1C[NH+](CCCN1)Cc2c(c(c(cn2)C)OC)C	C85614177	P134065719"
"c1cnn(c1)CC[NH+]2CCCN[C@H](C2)C3CCCCC3	C85615189	P134066346"
"CCn1cc(cn1)N2C[C@@H]([NH2+]C[C@@H]2C(C)C)C(C)C	C86154315	P134906554"
"CC[C@@H]1C[NH2+][C@@H](CN1c2nc(ns2)C(C)C)CC	C87642828	P137092913"
"CC(C)(C)[C@H]1CC[C@@H]([C@@H](C1)Cc2ncnn2C)[NH2+]C	C88580687	P138550009"
"CCc1cc(n(n1)C)CN2C[C@@]([NH2+]CC2(C)C)(C)CC	C89210539	P139514689"
"CC(C)n1c[nH+]cc1[C@@H](C#N)Nc2ccc(cc2)Cl	C91272517	P142760824"
"CCNc1c(c([nH+]c(n1)c2ccc(cc2)N(C)C)C)F	C91500164	P143201070"
"CCCc1c[nH+]c(nc1N2C[C@H]([C@@](C2)(C3CC3)O)C)C	C91664337	P143497861"
"CC[C@@H]1CCC[C@](C1)(C#N)[C@@H](c2c[nH+]cn2C(C)C)O	C91904457	P143893900"
"CC[C@H]1CCC[NH+](C1)Cc2c[nH]nc2c3ccc(o3)C	C91919241	P143900740"
"CC[C@H]1C[NH2+][C@](CN1[C@@H](C)c2c(noc2C)C)(C)CC	C92342222	P144549612"
"CCCN[C@]1(CCC[C@@H](C1)[NH+]2CCOC(C2)(C)C)C#N	C93742661	P146868368"
"CC[C@H]1CO[C@@H](C[NH+]1[C@@H]2CCC[C@@](C2)(C#N)NCC)C	C93743275	P146868967"
"CC(C)[NH2+][C@@]1(CCC[C@@H](C1)Sc2ncccn2)C#N	C93747070	P146874904"
"CCCNc1ccc([nH+]n1)[C@@H]2CCCc3c2nccc3	C94110275	P147482158"
"CCCNc1c(nsn1)[C@H]2CCCc3c2[nH+]ccc3	C94110386	P147487941"
"Cc1ccnc(c1)[C@@H](Cc2nc3ccccc3n2C)[NH2+]C	C94171230	P147572239"
"CCn1c2ccccc2[nH+]c1C[C@@H](c3c(cccn3)C)O	C94170111	P147590828"
"Cc1ccc(s1)C[C@H](C)[NH2+]c2nc3ccccn3n2	C94601983	P148296979"
"c1cc([nH+]c2c1nccn2)NC[C@H]3CCC[C@H]3CCl	C94727501	P148479374"
"C[C@@H](c1cc[nH+]c(c1)N(C)c2ccc(cc2)C#N)NC	C94999597	P148920669"
"Cc1ccccc1CNC(=O)N(C)Cc2cccc[nH+]2	C57478368	P155972195"
"CC(C)(C)C(=O)NC[C@H]1CCCN(C1)c2[nH+]ccs2	C98305904	P156371935"
