COc1cccc2c1cc3c(c2)C(=O)N(C3=O)C4CCCC4,10,P10000001
Cc1c(nn2c(c(nc2n1)c3ccccc3)c4ccccc4)C,C00034435,P05335153
C[C@H]1C[C@@H](CN(C1)c2c(nc(o2)c3ccc(cc3)F)C#N)C,C00468157,P05494329
Cc1cc(c2c(c1)n3c(=O)/c(=C\c4ccco4)/sc3n2)C,C04499036,P06103346
Cc1ccc(cc1)CSc2nc3ccc(cn3c(=O)n2)C,C04503688,P06111698
CCC1=NSC2=NCC(=NN12)c3ccc(cc3)Cl,C04531402,P06165862
Cc1ccccc1c2nc(c(o2)N3C[C@@H](C[C@H](C3)C)C)C#N,C00552558,P07289739
C[C@H](c1ccccc1)n2cccc2n3c4ccccc4nn3,C05723182,P08544235
Cc1ccsc1/C=N/n\2c(cs/c2=N\C)c3ccco3,C03442095,P08893531
CC(C)(C)c1ccc(cc1)S(=O)(=O)N=C2C=CC(=O)C=C2,C05610783,P09706625
CC(C)(C)[C@H]1CCc2c(c(no2)C(=O)N3CCCCCC3)C1,C02807897,P09786168
Cc1ccc(cc1)c2nc(on2)/C(=C/c3cccs3)/C#N,C07212194,P11254514
C[C@@H]1CCCCN1c2nn3cc(nc3s2)C(C)(C)C,C12506169,P18876189
CCc1cc2c3c(nc(nn3)S)n4c2c(c1)C(=CC4(C)C)C,C07449506,P19607796
c1ccc2c(c1)-c3nc(nn3C=CO2)/C=C/c4cccs4,C25185583,P37232934
c1ccc2c(c1)c3cc(ccc3o2)Oc4c(cccn4)C#N,C32735894,P48474049
Cc1cn2c(c(nc2s1)C)/C=C/c3nc4ccccc4o3,C32853606,P48642847
c1cc(ccc1N2CCN(CC2)c3c(nsn3)Cl)Cl,C37371987,P55568075
c1ccc(cc1)c2ccc(cc2)c3nc(no3)c4cccnc4,C02921364,P56538993
CCc1c(c2nccc(n2n1)c3ccco3)c4ccccc4,C06757192,P56771980
CC1CCN(CC1)c2c(nc(o2)/C=C/c3ccc(cc3)F)C#N,C08612953,P57147433
CC[C@]1([C@]2(C3=CC=CC4=NC(=C([C@@H]43)CCN2C(=O)O1)C)C)C,C39211824,P59411379
CC(C)(C)c1ccc(cc1)c2nc(c(o2)N3CCCC3)C#N,C39841473,P60458137
c1ccc(c(c1)c2nc(c(nn2)c3ccc(cc3)F)C#N)F,C00978206,P60586899
Cc1ccc(cc1)c2c(c3nc(cc(n3n2)N(C)C)C)C,C40216911,P61052264
Cc1ccc(c(c1)C)[C@H](c2ccc(o2)[N+](=O)[O-])Br,C40280957,P61145015
c1cc(oc1)c2nc3cc(ccc3n2C[C@@H]4CCCO4)Cl,C40409374,P61335546
Cc1cc(ccc1Br)n2c(nnn2)c3ccccc3,C50308714,P75246143
CC(C)(C)C1CCN(CC1)c2c(n3ccsc3n2)C=O,C50347404,P75302339
C[C@@H]1C[C@@H](CN(C1)c2c(nc(o2)c3ccc(cc3)F)C#N)C,C13646858,P75434816
CC(C)(C)C1CCC(CC1)c2nnc3n2cnc(c3)Cl,C54668101,P82259517
C[C@H]1CN(CC(O1)(C)C)c2nc(c(s2)C=O)C(C)(C)C,C54967708,P82757116
c1ccc(c(c1)n2ccnc2)S(=O)(=O)C(F)(F)F,C60355764,P92183407
C[C@H](c1cccs1)N(C)c2nc(nc(n2)Cl)Cl,C61518787,P94189909
CC(C)(C)c1nc(on1)C2(CCOCC2)c3ccc(cc3)F,C69966751,P107835947
Cc1ccc(cc1)c2ccnc3n2nc(n3)c4ccccc4,C71376348,P110401272
Cc1ccc(cc1)[C@@H]2N(C=NN2C#N)c3ccc(cc3)C,C71404911,P110453074
Cc1ccc(cc1C)c2cn3c(n2)nc4c(n3)CCCC4,C72373374,P112538268
c1cnccc1c2nc(on2)c3cc(cc(c3)Cl)Cl,C74454319,P116049674
C[C@H]1CCC[C@@H](C1)N(C)C(=O)/C=C/c2cnc3ccccc3n2,C33098617,P116147928
CN(C)c1ccc(cc1)c2nc3cnc4ccccc4c3o2,C44063131,P133621883
CC(C)(C)c1cc(nc(n1)[C@@H]2COc3ccccc3O2)Cl,C87856089,P137421443
Cc1cc(cc(c1Oc2c(c(nc(n2)C)Cl)C)C)C#N,C88154622,P137864567
Cc1cc(c(c(c1)C)C(=O)N(C)c2ccc3c(c2)OCO3)C,C89237277,P139557983
CCN(c1ccc(c(c1)F)F)C(=O)c2cnc3n2cc(cc3)C,C90166722,P140933616
CC(C)[C@@H]1CCCN(CC1)c2c(c(ncn2)Cl)C=O,C90826205,P142078112
Cc1c2c(n(n1)C)n(c(n2)[C@@H](C)Cl)[C@H]3CCC[C@@H]([C@@H]3C)C,C92541234,P144847581
Cc1c2c(n(n1)C)n(c(n2)[C@H](C)Cl)[C@@H]3CCCCC3(C)C,C94327392,P147844461
c1ccc(cc1)[C@H]2C[C@H]2c3nc(c(o3)N4CCCCCC4)C#N,C96346541,P152014132
Cc1cccc2n1s/c(=N/C(=O)c3ccc(cc3)Cl)/n2,C12462994,P152575562
Cc1cc(ccc1N2CCCC2)/C=N/c3ccc4c(c3)OCO4,C00561168,P153258125
