c1cc(c(cc1CCNC(=O)c2cc(c(c(c2)O)O)O)O)O,1,P10000002
CC1=C(C(C(=C(N1)C)C(=O)N)c2cccs2)C(=O)N,C19418627,P28729016
CC(C)[C@@H](C(=O)NC1CCC(CC1)O)NC(=O)N,C35101202,P52096695
c1c2c(cc(c1N)NC3CCC(CC3)O)NC(=O)C2,C35345203,P52441120
C[C@H](c1ccc(cc1)C(F)(F)F)NC(=O)[C@@H](CC(=O)N)N,C37630023,P55968911
CCSc1ccccc1NC(=O)[C@H](CC(=O)N)N,C37768052,P56170178
Cc1ccsc1[C@@H](C[NH3+])Sc2nc(cc(n2)[O-])N,C43251622,P65375289
c1c2c(cc(c1N)N[C@@H]3CCCNC3=O)NC(=O)CC2,C50397371,P75371244
Cc1c2c([nH]n1)OC(=C([C@H]2c3ccc(cc3)Br)C(=O)N)N,C58950850,P89258465
CC[NH+](CC)c1ccc(cc1)NC(=O)[C@@H]2C[NH2+][C@@H](CN2)C,C62996849,P96731477
c1ccc(cc1)[C@H](C/C(=N/O)/N)N[C@H]2CCCC[C@@H]2O,C78997566,P123348597
C[C@H](C(=O)NCC1(CCCCCC1)O)NC(=O)N,C80111802,P125136916
C[C@H]1CCC[C@](C1)(C(=O)Nc2ccccc2S(=O)(=O)N)N,C80925078,P126403354
c1c(cnc(c1N)NC(CO)CO)Br,C83690462,P130913116
c1c2c(cc(c1N)NC[C@H]3CCCC[C@@H]3O)NC(=O)C2,C85967943,P134603487
CC[C@@H](C[NH3+])S(=O)(=O)Nc1ccc(cc1)[NH+](C)C,C88472836,P138394410
CC(C)n1c[nH+]cc1[C@@H](C[NH3+])N(C)C[C@@H]2CC[NH+](C2)C,C90210038,P141016353
CC[NH+](CC)c1ccc(cc1)NC(=O)[C@H]2COC[C@H]2[NH3+],C90379909,P141313241
CC(C)(c1nc(on1)C[NH+]2CC[C@H]3CC[C@@H](C2)[NH+]3C)[NH3+],C92001758,P144043391
c1cc(ccc1NC(=O)[C@@H]2C[C@@H](C=C2)N)S(=O)(=O)N,C92201439,P144366682
Cc1cc(cc(c1C)NC(=O)[C@@H]2C[C@H](C=C2)N)S(=O)(=O)N,C92202737,P144369527
Cc1c(cccc1NC(=O)[C@H]2C[C@@H](C=C2)N)C(=O)N,C92203004,P144370336
c1ccc2c(c1)[C@@H](CO2)Nc3ccc(c(c3)N)S(=O)(=O)N,C93199145,P145911528
c1cc(c(cc1SC[C@@H](CO)O)Cl)/C(=N\O)/N,C93957922,P147261989
c1cc(c(cc1Cl)/C(=N\O)/N)SC[C@H](CO)O,C93957925,P147261992
c1cc(c(cc1Sc2[nH]c(=O)cc(n2)N)N)C#N,C94591485,P148274836
CC(C)C[C@H](CN)C(=O)NC1CCC(CC1)C(=O)N,C94697424,P148433263
Cc1cc(c(nc1)N)[C@@H](c2ccc3ccccc3n2)NN,C97531975,P154536423
Cc1ccnc(c1[C@H](c2ccc3c(c2)nccn3)NN)N,C97535219,P154539923
Cn1c(c(cn1)[C@H]([C@@H]2CCOC3(C2)CCSCC3)NN)N,C97556235,P154607825
Cc1cc(ccc1C[C@H](c2cnn(c2N)C)NN)F,C97556445,P154608254
c1ccc2c(c1)OC[C@H](O2)[C@H](c3cnccc3N)NN,C97555668,P154623616
CCc1c(c(n(n1)C)C[C@@H](C(C)(C)[NH+]2CCCC2)N[NH3+])Cl,C97581370,P154664256
CCc1cc(n(n1)C)C[C@@H](C(C)(C)[NH+]2CCCC2)N[NH3+],C97581542,P154664349
CC[C@](C)([C@@H](Cc1c(c(nn1C)C)Cl)N[NH3+])[NH+]2CCCC2,C97584930,P154668159
CC1CCC(CC1)([C@@H](c2c(cnn2C)Br)N[NH3+])[NH+](C)C,C97590039,P154672911
CC(C)([C@H](c1cc(cnc1N)Cl)NN)N2CCCC2,C97581367,P154674478
CC(C)([C@H](c1cccnc1N)NN)N2CCCCCC2,C97582569,P154674793
CC[C@@](C)([C@H](c1cccnc1N)NN)N2CCCC2,C97584619,P154675892
Cc1ccnc(c1[C@H](C2(CCCCCC2)N(C)C)NN)N,C97591558,P154678059
CC[C@](C)([C@@H](c1cc(cnc1)OC)N[NH3+])[NH+]2CCCC2,C97584990,P154681028
Cc1cc(c(nc1)N)[C@@H](c2cc3c(ccs3)nc2)NN,C97613733,P154743535
Cc1cc(c(nc1)N)[C@H](c2cc3c(ccs3)nc2)NN,C97613734,P154743536
c1cc(c(cc1F)[C@@H]([C@H]2CCO[C@@]3(C2)CCOC3)NN)N,C97638713,P154788442
COC1(CCCCC1)[C@@H](c2cc(cnc2N)Cl)NN,C97662280,P154845365
CCOC1(CCC(CC1)(C)C)[C@@H](c2cccnc2N)NN,C97666979,P154871713
CCOC1(CCC(CC1)C)[C@@H](Cc2cccnc2N)NN,C97665162,P154881331
CCO[C@@]1(CCC[C@@H](C1)C)[C@@H](c2cc(cnc2N)C)NN,C97666822,P154881411
COC1(CCCCCC1)[C@@H](c2cccnc2N)NN,C97667727,P154881457
Cc1cc(c(nc1)N)[C@@H](C2(CCCCCC2)OC)NN,C97668008,P154881467
CCO[C@@H](c1ccccc1)[C@H](c2c(ccnc2N)C)NN,C97671395,P154881635
