c1cc(c(cc1CCCCCCCc2ccc(c(c2)O)O)O)O,2,P10000004
CCCC[NH+]1CCC(CC1)[NH2+][C@H]2CCCC[C@@H]2C(C)(C)C,C37150007,P55272587
CC[C@H](C1CCCCC1)NC(=O)[C@@H](C(C)C)C(=S)N,C52343405,P78331702
CC[NH2+][C@H]1CC[C@@H](C[C@@H]1C[NH+](CC2CC2)C(C)C)C,C53878973,P81015032
CC[NH+](CC)c1ccc(cc1)N2CC[C@H](C2)[NH2+]C(C)C,C71200184,P109926846
CCCC[NH+](CCCC)[C@@]1(CCCC(C1)(C)C)CN,C79979533,P124961500
C[C@@H]1C[C@@H]([C@@H]([C@@H](C1)[NH2+]C)C[NH+](CC(F)(F)F)C2CC2)C,C84941800,P132973209
CC(C)c1ccc(cc1)SCCCC[C@@](C)(CN)O,C85308376,P133486637
c1cc(sc1[C@H](CN)NCC(C2CC2)C3CC3)Br,C88554744,P138515316
CCC[NH2+]CC1(CCCCCC1)C[NH+]2CCCCCCC2,C89562588,P139994890
C[C@H]1CCC[C@](C1)(C[NH2+]C)C[NH+](Cc2ccsc2)C3CC3,C89619491,P140088878
CCC[NH2+][C@@H](CC(C)C)[C@@](C)(CC)[NH+]1CCCCC1,C91610405,P143378014
CC[C@H]1CCCC[C@@H]1[C@@H](C(CC)(CC)[NH+](C)C)[NH2+]C,C91614465,P143382074
CC[C@@](C)([C@H](c1ccc(cc1)F)[NH2+]CC)[NH+](CC)CC,C91600748,P143386097
CC[C@](C)([C@@H](Cc1ccc(cc1)F)[NH2+]CC)[NH+](CC)CC,C91600775,P143386127
CC[NH2+][C@@H]1[C@@H](CCC1(C)C)C[NH+](CC)c2ccc(cc2)C,C94317257,P147841014
C[C@@H]1CC[C@@H]([C@@H](C1)NC(=O)[C@@H](CC(C)C)CN)C(C)C,C94697751,P148433426
CC[C@H](C)[C@@H](Cc1c(cc(cc1C)C(C)(C)C)C)NN,C97487878,P154437671
CCC(CC)(c1ccccc1)[C@H](c2ccccc2F)NN,C97526078,P154507918
CCC(CC)(c1ccccc1)[C@@H](c2ccc(cc2)Cl)NN,C97526101,P154507941
c1cc(ccc1[C@@H](CSC2CCCCC2)NN)C(F)(F)F,C97541098,P154546228
c1cc(ccc1[C@H](CSC2CCCCC2)NN)C(F)(F)F,C97541099,P154546229
CCC1CCC(CC1)[C@H](CSC2CCCCC2)NN,C97540874,P154560845
CC(C)(C)CC[C@H](C(C)(C)c1ccc(cc1)F)NN,C97536950,P154563188
CCCC1CCC(CC1)[C@H](Cc2ccc(s2)Br)NN,C97558245,P154610594
CCC1CCC(CC1)[C@@H](CSc2ccc(cc2)F)NN,C97566167,P154621215
c1cc(ccc1F)SC[C@@H](Cc2ccc(s2)Cl)NN,C97566316,P154621385
Cc1ccc(cc1)SC[C@H]([C@@H]2C[C@@H]2c3ccccc3)NN,C97566809,P154621957
CCCC1CCC(CC1)[C@@H](Cc2cc(ccc2F)F)NN,C97558316,P154624587
CCCC1CCC(CC1)[C@H]([C@@H]2CCC[C@@H](C2)CC)NN,C97558425,P154624671
CCCC1CCC(CC1)[C@@H](Cc2ccc(cc2F)Cl)NN,C97558440,P154624685
CC(C)CCC[C@H](c1cc(ccc1C(F)(F)F)F)NN,C97615715,P154746526
CCO[C@@]1(CCC[C@H](C1)C)[C@@H](CC2CCCCC2)NN,C97666324,P154871015
CCCCCC[C@H](c1c(c(c(c(c1F)F)F)F)F)NN,C97708194,P154978121
CCCCC[C@@H](c1cc(ccc1Br)C(F)(F)F)NN,C97708641,P154978643
CC[C@H](c1ccccc1)[C@@H](Cc2ccc(s2)Br)NN,C97710276,P154980544
CCCCC1CCC(CC1)[C@H](Cc2ccc(s2)Cl)NN,C97710364,P154980654
CCc1ccc(s1)C[C@H]([C@@H](CC)c2ccccc2)NN,C97711026,P154981444
CCCC[C@@H](CC)[C@@H](c1ccc(cc1)C(F)(F)F)NN,C97723382,P155027616
CCCC(CCC)[C@H](Cc1ccc(cc1F)Br)NN,C97715853,P155030914
CCCC[C@H](CC)[C@@H](Cc1ccc(cc1F)Br)NN,C97715925,P155030922
CCC[C@H](C)C[C@@H]([C@@H]1CC[C@@H]2CCCC[C@@H]2C1)NN,C97717105,P155031102
CCCC(CCC)[C@H](c1ccccc1C(F)(F)F)NN,C97733091,P155053422
c1cscc1CC[C@@H]([C@H]2CCC[C@@H](C2)C(F)(F)F)NN,C97735269,P155065633
CCCCC1CCC(CC1)[C@H]([C@H]2CCCC[C@@H]2CC)NN,C97738047,P155066039
CCCCC1CCC(CC1)[C@@H](C2CCC(CC2)C)NN,C97740940,P155066834
CCCCC1CCC(CC1)[C@H]([C@@H]2CCC[C@@H](C2)CC)NN,C97745770,P155102829
CC[C@H]1CCC[C@@H](C1)[C@@H](C[C@@H](C)CC(C)(C)C)NN,C97745870,P155102873
Cc1cc(c(c(c1)C)[C@H](CCCC(F)(F)F)NN)C,C97773855,P155154186
CC(C)CCC[C@@H](c1cc2c(s1)CCCCC2)NN,C97777614,P155158456
CCCC(CCC)[C@H](Cc1cc(cc(c1)F)F)NN,C97925528,P155441039
