CC(C)N1C(=O)c2cc3cccc(c3cc2C1=O)OC,5,P10000005
c1cc(ccc1c2nc(no2)c3ccncc3)Cl,C00199374,P05197119
CSc1nnc2n1nc(cc2)c3ccc(cc3)Cl,C04376559,P05833248
CCc1nnc2n1nc(s2)c3ccc(cc3)Cl,C04487454,P06085562
c1ccc2c(c1)c3nc(nn3cn2)Cc4cccs4,C04770877,P06867481
CN(C)c1ccc(cc1)/C=C/n2c3ccccc3nn2,C05328432,P07901138
C[C@@H](c1nc2ccccc2s1)n3c4ccccc4nn3,C05368925,P07941010
CC(C)(C)C1=C[C@@H]2CN=N[C@@]2(C(=O)[C@@]13CO3)C(C)(C)C,C05481393,P08117972
c1ccc2c(c1)nnn2[C@H]3C(=N3)c4ccc(cc4)Cl,C06829936,P10773399
Cc1ccsc1c2nnc(n2Cc3ccco3)S,C12389490,P18205737
c1ccc2c(c1)c(nc(n2)c3ccco3)SCC#N,C12782362,P18782680
Cc1ccc(c(c1)C)/C=C(\C#N)/c2nc3cccnc3n2C,C05387237,P19891887
Cc1ccc(s1)c2nc(on2)c3ccc(cc3)OC,C21716043,P32342507
c1cc2c(cc1Cl)O[C@@](O2)(C(F)(F)F)N=C=O,C26438338,P38998929
CC(C)c1cc(n(n1)c2cnccn2)c3ccc(cc3)F,C34383989,P51048695
CCC[C@H]1[C@@H]2C[C@@H](CC=C2[C@H](C(=[N-])C1(C#N)C#N)C#N)C,C12841377,P54247764
Cc1cc2c(cc1C)n(cn2)c3ccc(nn3)Cl,C37022318,P55034266
c1ccc(cc1)N(c2ccccc2)C(=O)n3ccnc3,C00102851,P56309641
CCc1nc2c(c(ccn2n1)c3ccc(cc3)Cl)C#N,C01402105,P56438810
Cc1ccc(o1)C(=O)/C=C/c2ccc3c(c2)OCO3,C04535225,P56499426
CC(C)c1cnn2c1nc(cc2Cl)c3ccoc3,C39956049,P60633372
Cc1c(nnc(c1C#N)OC[C@H]2CC=CC[C@H]2C)C,C40291220,P61164518
CCc1c(snn1)C(=O)N2CC[C@@H]3CCCC[C@H]3C2,C44888940,P67669958
CCN(c1ccc(cc1)C)C(=O)c2ccc(nn2)Cl,C49988056,P74759238
c1ccc2c(c1)CCC[C@H]2c3nnc4n3cnc(c4)Cl,C54669319,P82262063
c1ccc(cc1)c2cnn(c2)c3ccc(nn3)CCl,C54961682,P82749066
c1ccnc(c1)c2nnc(o2)c3ccc(s3)Cl,C59435097,P90432539
CC1(CCN(CC1)c2nc(nc(n2)Cl)Cl)C,C61823932,P94706154
Cc1c(nc(nn1)c2ccc(cc2)Cl)N3CCCC3,C65195875,P100185556
CCCc1nnc2n1nc(s2)c3cc(ccc3F)F,C65356327,P100462341
c1cnc(nc1C(F)(F)F)N2CCCO[C@H]3[C@@H]2CCC3,C69946303,P107796041
CSc1nc(cc(n1)Cl)c2cncc(n2)Cl,C72204473,P112166961
c1cc(ccc1c2nc3ncc4c(n3n2)CCC4)Cl,C72451483,P112718115
CCN(c1ccc(cc1C)C)C(=O)c2cc(on2)C,C75445199,P117440395
c1cn2c(c(n1)Cl)nnc2c3cc4c(s3)CCC4,C79453246,P124115051
c1cn2c(nnc2c(n1)Cl)CC3CCCCC3,C79453456,P124115541
Cc1c(c(n(n1)C)N2CCC[C@H](CC2)C(C)C)C#N,C83729489,P130973079
Cc1cc(cs1)c2nc(nc(n2)Cl)N(C)C,C84026165,P131456521
Cc1c(nnc(c1C#N)OC2C[C@@H](C[C@@H](C2)C)C)C,C84961170,P132957657
Cn1c2ccc(cc2nc1c3ccc(cn3)Cl)C#N,C86635091,P135607882
CCCn1c2ccc(cc2nc1c3cc(oc3C)C)C#N,C86635903,P135608694
c1c(cc(c(c1F)c2nnc3n2cnc(c3)Cl)F)F,C86997506,P136165542
CC(C)(C)c1nc(sn1)N(C)c2cccc(c2)C#N,C87639803,P137088248
Cc1nc(cc2n1c(nn2)c3ccc4c(c3)CCC4)Cl,C88071442,P137742737
Cc1cc(cc(c1Oc2cc(ncn2)Cl)C)C#N,C88154698,P137864643
C[C@H]1COC2(O1)CCN(CC2)C(=O)C3CCCCCC3,C89941313,P140586361
CC(C)Cc1nc(on1)C2=Cc3cc(ccc3OC2)F,C90094064,P140820128
C[C@@H]1C[C@H]2CCCC[C@@H]2N1Cc3cnc4n3ccnc4,C93383447,P146232300
CN(C)/C=C\c1cc(c(cc1Cl)[N+](=O)[O-])Cl,C95093039,P149094488
CC(C)(C)c1cnc(s1)Sc2c(nccn2)C#N,C96469657,P152341445
c1cn2c(cc1C#N)nnc2C34CC5CC(C3)CC(C5)C4,C97883491,P155357703
