c1cc(c(cc1CCCCCc2ccc(c(c2)O)O)O)O,7,P10000007
c1cc(cc(c1)C(F)(F)F)CSc2nc(cc(n2)N)N,C00803829,P06006574
Cc1cccc(c1C)NS(=O)(=O)c2ccc(cc2)NN,C35354652,P52456919
C[C@H](c1ccc(cc1)NC(=O)N)NCc2ccc(s2)Cl,C37158775,P55270314
C[C@@H]1CC[C@@H]([C@@](C1)(C(=O)N)[NH2+]CC(F)(F)F)C(C)C,C37971377,P57060960
CC[C@@](C)(C(=S)N)NC(=O)NC12CC3CC(C1)CC(C3)C2,C40361932,P61273698
CC(C)(C)CC(=O)NC1(CCCCCC1)/C(=N/O)/N,C40372950,P61287941
c1cc(sc1)[C@H](C2CC2)Nc3ccc(cc3)NC(=O)N,C42331004,P64027446
C[C@@H]1CC[C@H]([C@@H](C1)OCC[C@@](C)(C(=O)N)N)C(C)C,C45475743,P68542184
Cc1ccc(c(c1)C)SC[C@](c2ccccc2)(C(=O)N)N,C45558871,P68644988
C[C@](CCSc1ccc(cc1)C(C)(C)C)(C(=O)N)N,C45589592,P68718955
C[C@@H](CCCC(C)C)Nc1cc2c(cc1N)CC(=O)N2,C49128736,P73380843
CC(C)[C@H](c1cccs1)Nc2cc3c(cc2N)CC(=O)N3,C49555124,P73998997
CCC(C)(C)C(=O)NC1(CCCCCCC1)/C(=N/O)/N,C54404289,P81861379
CC(C)[C@@H]1CC[C@H]([C@@H](C1)C[NH+](CCO)C2CCCC2)[NH2+]C,C54560292,P82101331
CC[NH+](CC)c1ccc(cc1)NC(=O)C[NH2+]C(C)C,C57370829,P86133400
C[NH+](C)c1ccc(cc1)Nc2ccc(c(n2)OC)N,C57611147,P86578964
C[C@@H](c1ccc(s1)Cl)Nc2ccc(c(c2)C(=O)[O-])[NH3+],C49148641,P88904861
CCc1ccc(cc1)[NH+](C)CCC[C@@](C)(C(=O)OC)[NH3+],C49989474,P91111725
C[C@H]1CC[C@@H]([C@@H](C1)C)NC(=O)[C@@H](C(C)C)/C(=N/O)/N,C70116516,P108080003
CC[NH+](CC[C@@](C)(CO)[NH2+]C(C)C)c1ccc(cc1)F,C70338369,P108442602
C[C@H](C/C(=N/O)/N)Nc1cc(cc(c1)Cl)Cl,C70604129,P108907253
CCc1c(c2cc(cc(c2[nH]1)CNc3cc(ncn3)N)C)C,C71730614,P111082531
C[C@H](/C(=N/O)/N)Nc1ccc(cc1)N2CCCCC2,C78948656,P123244206
Cc1ccccc1N[C@@H](C/C(=N/O)/N)c2ccccc2,C78983609,P123287668
CCC[C@@H](c1cccs1)N[C@@H](CC)C/C(=N/O)/N,C79008399,P123341522
CCC[NH2+][C@](C)(CC[NH+](C)c1cccc(c1)C)CO,C85214267,P133349382
CC[NH+](CC[C@@H](CO)[NH2+]C(C)C)c1cccc(c1)C,C85241346,P133389043
CC[NH2+][C@H](CSc1ccccc1)c2c(ccnc2N)C,C87162570,P136406151
C[C@H](c1ccc(cc1)Cl)NCCC(C)(C)/C(=N/O)/N,C87593526,P137019408
CC(C)[C@H](c1cccs1)NCCCC(C)(C)/C(=N/O)/N,C87610064,P137046401
CC(C)(CCC[NH+](C)c1ccc(cc1)OC)CC[NH3+],C87705890,P137192498
Cc1cccc(c1Nc2c(c(cc[nH+]2)C(=O)[O-])N)C(C)C,C88797298,P138906639
CCCOc1cc(c(cc1F)N)NC[C@@H]2CCC[C@H]2O,C89164554,P139450813
Cc1nc2cc(c(cc2s1)N)NC[C@H]3CCCC[C@@H]3CO,C89523352,P139941354
c1cc(c2ccncc2c1N)NC[C@@H]3CCCC[C@H]3CO,C89522985,P139964351
C[NH2+]CC1(CCCCCC1)C[NH+]2CC[C@@H](C2)[NH+]3CCCC3,C89565554,P140012510
Cc1c(cccc1F)NC(=O)N[C@H](C(=O)N)C(C)(C)C,C89872626,P140476952
CCC(CC)([C@H](c1c(cc[nH+]c1N)C)NC)N(CC)CC,C91616176,P143410175
CC[NH+]1CCC[C@H]1C[NH+](C)CC2(CCCC2)C[NH2+]C(C)C,C92671499,P145064446
CC[C@H]1CC[C@H]([C@@H](C1)C[NH+](C)C[C@@H]2CCC[NH+]2CC)[NH2+]C,C92671680,P145064649
CC(C)c1ccc(cc1)SCC[C@@H]2CCC[C@@]2(C(=O)N)N,C93629004,P146650184
CC[NH2+][C@@]1(CCC[C@H]1CC[NH+](C)c2ccc(cc2)C)CO,C93615334,P146651569
Cc1cc(cc(c1)[NH+](C)CC[C@H]2CCC[C@@]2(CO)[NH2+]C)C,C93615535,P146651614
CC[NH+](CC[C@H]1CCC[C@@]1(CO)[NH2+]C)c2ccccc2,C93616551,P146651676
CCC(CC)C[NH+](CC)[C@]1(CC(OC1(C)C)(C)C)C[NH3+],C94424939,P147982941
Cc1cc(cc(c1[NH3+])C(=O)[O-])NCc2cccs2,C94694277,P148431683
c1c(c(cc(c1Cl)Cl)NC[C@H]2CCCC[C@H]2CO)N,C95023652,P148959423
CC(C)[NH+]1C[C@H]2CCC[C@@H](C1)C2[NH2+]C[C@@H]3CCCC[C@@H]3O,C85966588,P153212809
Cc1c(c(n([nH+]1)C(C)C)NC(C)(C)CC(C)(C)C)N,C97145153,P153803467
Cc1cc(c(c(c1)C)[C@@H](CCC[C@@H]2CCCO2)[NH2+]N)C,C97746650,P155076554
