ligand,c1ccc(c(c1)CCCCc2ccc(c(c2)O)O)O,6,P10000008
CCCCC[C@H](C)NC(=O)C1(CCCCC1)N,C36135746,P53685936
c1cc(ccc1N)Nc2ccc(cc2)OC(F)F,C36905623,P54860497
c1cc(ccc1Nc2ccc(cc2N)F)OC(F)F,C37327466,P55502240
C[C@H]1CC[C@H]([C@@](C1)(C(=O)N)NCC(C)C)C(C)C,C37946131,P57019643
CC[C@H](C)N[C@@]1(C[C@@H](CC[C@@H]1C(C)C)C)C(=O)N,C38064941,P57240697
CC[C@@H](C)N[C@]1(C[C@@H](CC[C@@H]1C(C)C)C)C(=O)N,C38064942,P57240698
C[C@H](CSc1ccc(cc1)C(C)C)/C(=N/O)/N,C36987712,P59235840
CCCC1CCC(CC1)NC(=O)[C@@](C)(CCC)N,C49547514,P73989656
CCCC[C@@H](C)Nc1cc2c(cc1N)sc(n2)C,C50887115,P76151693
CCCCN1C(=[NH+][C@@H](C1=[NH2+])c2ccccc2C)CC,C50995390,P76339623
CCCC1=[NH+][C@@H](C(=[NH2+])N1CC)c2ccc(cc2C)C,C50996662,P76340895
CCCN1C(=[NH2+])[C@@H]([NH+]=C1C(C)C)c2ccc(cc2)F,C50998816,P76343431
CCCN1C(=[NH2+])[C@H]([NH+]=C1C(C)C)c2cc(ccc2C)C,C50998886,P76343523
CCC[C@H](C)[C@@H]1C(=[NH2+])N(C(=[NH+]1)c2ccccc2)CCC,C51003063,P76347766
CCCC1CCC(CC1)Nc2c(cc(cn2)N)C,C52813186,P79149241
c1ccc(c(c1)Nc2ccc(nc2)N)SC(F)F,C20585116,P80384697
CCCCN1C(=[NH2+])[C@@H]([NH+]=C1C(C)C)C(C)(C)C,C50999351,P92042152
CCC[C@@H](C)[C@H]1C(=[NH2+])N(C(=[NH+]1)C2CC2)C(C)(C)C,C60280490,P92043373
CC(C)(C)C[C@@H]1C(=[NH2+])N(C(=[NH+]1)C(C)(C)C)CC=C,C61839064,P94736465
CC[C@H](CC1CC1)Nc2cc3c(cc2N)sc(n3)C,C70109950,P108068523
CCN[C@@H](c1cc(cnc1N)Cl)C2CCCCC2,C70405926,P108555377
CC[C@@H]1CCCC[C@]1(C(=O)N)NC2CCCCCC2,C71162528,P109850325
Cc1cc(ccc1N[C@@H](C)c2ccc(cc2)[NH+](C)C)O,C80360883,P125532060
C[C@H](CNc1ccc2c(c1N)cccn2)C(C)C,C81075950,P126606183
CC[C@H]1CN([C@@H](C[NH2+]1)C)c2ccc(cc2)[NH+](CC)CC,C83545972,P130683176
CCC[C@H](CC)Nc1c(cc(cn1)N)Br,C86481243,P135389934
CCC[C@@H]1CCC[C@@](CC1)(C(=O)N)NC2CCCC2,C86949507,P136124860
CC(C)[C@H]1CCC[C@](CC1)(C(=O)N)NC2CCCC2,C86949514,P136124867
CC(C)C1CCC(CC1)[C@@H](c2cccnc2N)NC,C87965980,P137596916
c1cc2c(c(c1NCC(C3CC3)C4CC4)N)ncs2,C88454806,P138358553
c1cc2c(ccc(c2N)NCC(C3CC3)C4CC4)nc1,C88454817,P138360382
C1CCCC(CC1)[C@@H](C(=O)N)NC2CCCC2,C89561394,P140009042
CCCN1C(=[NH+][C@H](C1=[NH2+])C2CCC(CC2)C)CC,C89576351,P140022121
CCC1=[NH+][C@@H](C(=[NH2+])N1CC=C)[C@H]2CCC[C@H](C2)C,C89608396,P140075726
CCCC1=[NH+][C@@H](C(=[NH2+])N1CC)[C@@H]2CCC[C@@H](C2)C,C89608423,P140075777
CCCC1=[NH+][C@@H](C(=[NH2+])N1CC)[C@@H]2CCC[C@H](C2)C,C89608425,P140075781
CCCN1C(=[NH2+])[C@H]([NH+]=C1C2CC2)[C@H]3CCC[C@@H](C3)C,C89608618,P140076142
C[C@@H]1CCC[C@H](C1)[C@@H]2C(=[NH2+])N(C(=[NH+]2)C3CC3)CC(C)C,C89608666,P140076231
CCCOc1cc(ccc1NCc2c(ccs2)N)C,C90960262,P142301749
CCOc1cc(ccc1N)[NH+](C)CCc2cccs2,C93267851,P146030290
CC[C@@](C)(c1[nH]c(cn1)c2ccc(cc2)C(C)C)N,C94239332,P147699824
CC[C@@](C)(c1[nH]c(c(n1)C(C)C)c2ccccc2)N,C94239456,P147700068
CC[C@](C)(c1[nH]c(c(n1)C(C)C)c2ccccc2)N,C94239457,P147700070
CCC(CC)(C(=O)N[C@H]1C[C@H](CC[C@@H]1C(C)C)C)N,C94244048,P147701660
CCC(CC)(c1[nH]cc(n1)c2ccc(cc2)Cl)N,C94246134,P147710040
CCCOc1cc(ccc1N)NCc2c(ccs2)C,C94874605,P148709603
CCc1ccsc1CNc2ccc(c(c2)OCC)N,C94874737,P148709735
CC[C@@H]1CCC[C@H](C1)[C@@H](c2ccc(cc2)OCC)NN,C97559588,P154611960
CCc1ccc(cc1)[C@H](C2(CCCCCC2)OC)NN,C97667944,P154854073
CCCCC[C@@H](c1cc(c2ccccc2n1)C)NN,C97672055,P154879417
