COc1cccc2c1cc3c(c2)C(=O)N(C3=O)c4ccccc4Cl,9,P10000009
c1cc(c(cc1c2nc(on2)c3ccc(nc3)Cl)Cl)Cl,C01384996,P05019442
C[C@@H]1CCc2c(sc3c2c4nnc(n4cn3)C5CCCCC5)C1,C00098626,P05054848
Cc1cc(nc(c1C#N)Sc2c3c4c(sc3ncn2)CCCC4)C,C00942227,P05099898
CC(C)(C)[C@@H]1CCc2c(sc3c2c4nncn4c(n3)SC)C1,C00458815,P05280257
c1ccc(cc1)/C=c\2/c(=O)n3c(nnc3s2)c4ccc(cc4)Cl,C01036523,P05390565
c1ccc2c(c1)c3cc(ccc3o2)Oc4ncc(cn4)Br,C04228469,P05503405
c1c(cc(c(c1[N+](=O)[O-])N=C=S)Br)C(F)(F)F,C04242149,P05532482
c1ccc(cc1)c2cc(n3c(n2)nc(n3)C(F)(F)F)c4ccccc4,C00495179,P05960258
c1cc(ccc1c2nnc3n2N=C(CS3)c4ccc(cc4)F)Cl,C00532952,P06288220
c1ccc(cc1)N2CCN(C2c3ccc4c(c3)OCO4)c5ccccc5,C00286201,P06564234
c1cc(ccc1Cc2nnc3n2nc(s3)C4CCCCC4)Cl,C04667827,P06578274
c1cc(cnc1)C2=NN3[C@H](C2)c4cc(ccc4OC35CCCCC5)Cl,C04715938,P06732111
C[C@@H]1CCc2c(sc3c2c4nnc(n4cn3)SCC(=C)C)C1,C00506340,P07015266
CCc1nc2c(c3c(s2)C[C@H](CC3)C)c4n1c(nn4)SCC,C00413752,P07043771
CCc1ccc(cc1)C2=C/C(=C/c3ccc4c(c3)OCO4)/C(=O)O2,C04852815,P07051026
c1ccc(cc1)N2CN=c3n(c(=O)/c(=C/c4cccs4)/s3)C2,C00522413,P07519709
c1ccc2c(c1)nc(o2)c3cnn(c3)c4ccc(cc4Cl)Cl,C01398342,P08627226
Cc1ccc(cc1)c2nc3n(n2)c(=O)/c(=C/[C@@H]4CCC=CC4)/s3,C06503639,P10238531
Cc1cc2c(cc1C)n3c(=O)/c(=C/c4ccc(cc4)N(C)C)/sc3n2,C00234582,P10556797
Cc1ccc(cc1)c2cnn3c2nc(cc3N4C[C@@H](C[C@H](C4)C)C)C,C07636220,P11759644
Cc1ccsc1c2nnc3n2nc(s3)c4ccc(cc4)Cl,C12391760,P18208685
c1cc(cc(c1)F)c2nn3c(nnc3s2)c4cccc(c4F)F,C12409746,P18235245
Cc1cc2c(cc1C)s/c(=N\C(=O)c3ccc(cc3)C(=O)C)/n2C,C07515917,P19621212
Cc1ccc(cc1)/C=c/2\c(=O)n3c(nnc3s2)c4ccccc4C,C13547828,P20859184
c1cc(ccc1c2nn3c(nnc3s2)c4cc(ccc4F)F)Cl,C09531128,P21023439
c1ccc2c(c1)CCN(C2)c3c(nc(o3)/C=C/c4ccc(cc4)F)C#N,C20868133,P31141990
Cc1cc(n2c(n1)c(c(n2)C)c3ccc(cc3)F)N4CCC(CC4)C,C21798839,P32444923
Cc1ccc(cc1)c2ccc(o2)/C=C/3\C(=O)N=C(S3)N4CCCCC4,C27515444,P40528353
Cc1cc(c2ccc(cc2n1)F)C(=O)N(C)c3nc4ccccc4s3,C31912368,P47041375
c1cc(ccc1c2nc(on2)c3ccc(cc3)F)N4CCCCC4,C33255368,P49181200
CCc1ccc(cc1)C2=Nn3c(nnc3SC2)c4cccs4,C04163948,P56824949
Cc1cc(c(cc1Cl)Cl)SCC2=NN=C3C2=C(CC(=O)O3)C,C39327620,P59582762
CN\1C(=O)/C(=C/C=C/c2ccccc2)/S/C1=N\c3nccs3,C39864737,P60487467
CCc1ccc(cc1)/C=C\2/C(=O)N(/C(=N\c3nc(cs3)C)/S2)C,C39865230,P60487960
c1cc(c(cc1Cl)[C@@H](c2ccc(o2)[N+](=O)[O-])Br)Cl,C40288774,P61161758
C=CCn1c(=O)c2c3c(sc2nc1N4CCCCCC4)CCCC3,C41394402,P62773322
c1ccc(cc1)/N=C\2/C(=S)N(c3n2c4ccccc4n3)c5ccccc5,C17154862,P80431752
CCc1cc(=O)oc2c1cc3c(c2C)OCN(C3)Cc4ccc(cc4)C,C58088564,P87546678
Cc1cccc(c1C)n2c(nnn2)S[C@H]3CCCc4c3cccc4,C58987023,P89328671
Cc1cc2c3c(c1C)[C@@H]([C@@]4(C[C@]3(CC(C4)(C)C)C(=O)O2)C)OC(=O)C,C75270474,P117195602
Cc1ccc2c(c1)N(CCC2)C(=O)c3coc(n3)c4ccccc4,C78119781,P121856579
Cc1nc2c3ccccc3oc2c(n1)N4C[C@@]5(C[C@H]4CC(C5)(C)C)C,C86016459,P134682174
CC(C)Cn1c2ccc(cc2nc1c3ccc(o3)Br)C#N,C86637208,P135610003
c1cc(c(cc1Cl)c2nc(on2)c3ccc(nc3)Cl)Cl,C89262784,P139589347
CCc1c2c(n(n1)C)n(c(n2)CCl)c3cc(cc(c3)Cl)Cl,C92578873,P144906518
Cc1c(cnn1C)c2nc(c(c(n2)Cl)Br)C(C)(C)C,C93651508,P146686020
c1cc(cc(c1)F)C2=N/C(=C/C3=Cc4cc(ccc4OC3)Cl)/C(=O)O2,C96018676,P151218873
C#CCn\1c2c(cccc2s/c1=N\C(=O)c3ccc(cc3)C#N)F,C06301361,P156266322
c1cc(ccc1[C@H]2CCCCN(C2)C(=O)c3c4c(on3)CCCC4)F,C98264070,P156301994
Cc1c(n(/c(=N/C(=O)c2ccco2)/s1)C)c3ccc(cc3)Cl,C13111619,P156330770
