c1cc(c(cc1CCNC(=O)c2cc(cc(c2)N)N)O)O,8,P10000010
CC1(C/C(=N/NC(=O)N)/C/C(=N\NC(=O)N)/C1)C,C05727658,P08550152
CC1(C(=NNC(=S)NN)C(C1=NNC(=S)NN)(C)C)C,C01630390,P08712877
Cc1c(sc(c1C(=O)N)NC(=O)CSc2nc([nH]n2)N)C,C06232956,P09713498
CCO[C@H](C)/C(=N\[NH+]=C(/N)\[S-])/C=N/[NH+]=C(\N)/[S-],C04897006,P45167075
Cc1c(sc(n1)N)SCc2nc(nc(n2)N)N,C37036977,P55054433
CCCCn1c(c(c(=O)[nH]c1=O)N[C@@H](C)C(=O)N)N,C37489119,P55753192
c1cc(ccc1NC(=O)[C@H](CC(=O)N)N)N2CCNC2=O,C37629454,P55968684
C1C/C(=N/NC(=O)N)/CC/C(=N\NC(=O)N)/CC1,C38257083,P57812986
c1c(cc(cc1F)Sc2nc(cc(n2)N)N)N,C41023392,P62257704
Cc1c(c[nH]n1)CNc2ccc(cc2N)S(=O)(=O)N,C42358786,P64067553
C[C@@H]([C@H](c1ccco1)Sc2nc(cc(n2)N)N)N,C43338633,P65556468
c1cnccc1[C@H](CN)Sc2nc(cc(n2)N)N,C43363563,P65599366
C[C@@H]([C@@H](c1ccncc1)Sc2nc(cc(n2)N)N)N,C43363564,P65599368
c1c(nc(s1)N)c2csc(n2)N=C(N)N,C39395296,P90583941
Cc1cc(cc(c1C)C(=O)[O-])NC(=O)[C@H](CC(=O)N)[NH3+],C62349161,P95668490
C[C@H]1CNC(=[NH+]1)C(C2=[NH+]C[C@H](N2)C)(C3=[NH+]C[C@@H](N3)C)[O-],C68604476,P105279502
CCCc1c(c(n[nH]1)C(=O)N2C[C@@H](C[C@@H]2C(=O)N)O)N,C70143335,P108117548
C[C@@H](C(=O)N)NS(=O)(=O)c1cc(c(nc1)NN)Cl,C81670341,P127408416
c1cc(ccc1N)S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,C83324145,P130288018
C1CC[C@@H]([C@@H](C1)CNC(=O)[C@@H](CC(=O)N)N)O,C85988489,P134642846
Cc1cnc(nc1NCCCS(=O)(=O)N)NN,C87868373,P137443468
c1c(nc(nc1NN)N)N[C@@H]2CCN(C2)C3CC3,C87868048,P137447499
CC(C)C[C@](C)(CNc1cc(nc(n1)N)NN)O,C87890787,P137486093
c1ccc2c(c1)c(nc(n2)NN)NC[C@@H](CO)O,C87890883,P137486128
c1c(nc(nc1N2CCCC[C@H]2CCO)N)NN,C87897173,P137487056
CCc1nc(c(c(n1)NN)C)NC[C@](C)(CO)O,C87918824,P137535638
CCC1CCC(CC1)(c2[nH]c3c(n2)c(=O)[nH]c(n3)N)N,C88725181,P138779964
CC1CCC(CC1)([C@H](Cc2c[nH+]ccc2N)[NH3+])[NH+](C)C,C91648756,P143473302
c1c2c(cc(c1Cl)Sc3nc(cc(n3)N)N)NC(=O)[C@H]2O,C92771930,P145217024
Cc1c(c[nH]n1)CNc2ccc(c(c2)N)S(=O)(=O)N,C93198736,P145911119
c1ccc2c(c1)nc(s2)C[C@@H](c3cn[nH]c3N)NN,C97556662,P154593445
CCn1c(c(c(n1)C)Cl)C[C@@H](c2c[nH]nc2N)NN,C97556570,P154608529
Cc1ccc2c(c1)cc(o2)[C@@H](c3c[nH]nc3N)NN,C97556574,P154608541
CCn1c(c(c(n1)C)Br)C[C@@H](c2c[nH]nc2N)NN,C97556598,P154608621
c1c(c(n[nH]1)N)[C@H]([C@@H]2CCOC3(C2)CCOCC3)NN,C97556603,P154608639
c1ccc(c(c1)C2CCC2)[C@H](c3c[nH]nc3N)NN,C97556615,P154608676
c1cn(nc1C[C@H](c2c[nH]nc2N)NN)C3CCCC3,C97556625,P154608706
c1ccc2c(c1)c(ccn2)C[C@@H](c3c[nH]nc3N)NN,C97556660,P154608831
CC[C@@H](C)n1ccc(n1)C[C@H](c2c[nH]nc2N)NN,C97556696,P154608951
CC[C@H](C)n1ccc(n1)C[C@H](c2c[nH]nc2N)NN,C97556697,P154608956
c1ccc(c(c1)[C@@H](c2c[nH]nc2N)NN)OC(F)(F)F,C97556712,P154609005
c1ccc(c(c1)[C@H](c2c[nH]nc2N)NN)OC(F)(F)F,C97556713,P154609008
c1cc(cc(c1)C(F)(F)F)[C@H](c2c[nH]nc2N)NN,C97556751,P154609122
CCc1c(c(n(n1)CC)C[C@H](c2c[nH]nc2N)NN)Cl,C97556761,P154609160
c1cn(nc1C[C@H](c2c[nH]nc2N)NN)C3CCCCC3,C97556785,P154609238
CC(C)([C@H](c1cccnc1N)NN)[NH+]2CCCCCC2,C97582569,P154650794
CC[C@@](C)([C@H](Cc1ccc[nH+]c1N)NN)[NH+]2CCCC2,C97584919,P154653144
CC[C@@](C)([C@H](Cc1c[nH+]ccc1N)NN)N2CCOCC2,C97586250,P154670460
C[NH+](C)C1(CCCC1)[C@H](c2cc(cnc2N)Cl)N[NH3+],C97587677,P154682649
C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=[NH+][C@H](C2=[NH2+])C(=O)N)O)O,C98235658,P156241011
