CN1C(=O)c2cc3cccc(c3cc2C1=O)OC,10,P10000001
CC(=O)c1cc(c(s1)Br)[N+](=O)[O-],C00161063,P05626305
CSc1nnc2n1CCN2c3ccc(cc3)F,C09651664,P15055959
Cc1nnc2n1nc(s2)/C=C/c3ccccc3,C04667590,P17111091
c1cc(ccc1c2nc(no2)c3ccncc3)F,C00238239,P18120887
CCc1nn2c(nnc2s1)c3cccs3,C06668737,P18337729
c1ccc(cc1)/C=C/C=c\2/c(=O)n3c(s2)ncn3,C13149284,P19676278
C[C@@H](C#N)Sc1nnc2n1c3ccccc3s2,C03495697,P19923991
c1cc(sc1)c2nnc3n2nc(cc3)Cl,C36903790,P54855324
c1nnc(s1)Sc2c(nsn2)Cl,C37372583,P55568671
CC(C)Sc1c2nncn2c3ccccc3n1,C06703817,P56709352
C1CCN(C1)c2nc(c(c(n2)Cl)C=O)Cl,C40449977,P61403755
Cc1nc(n(n1)[C@@H]2C[C@@H](CC[C@@H]2C#N)C(C)(C)C)C,C41633746,P63097247
Cc1nc(n(n1)[C@H]2C[C@H](CC[C@@H]2C#N)C(C)(C)C)C,C41633753,P63097260
c1ccn2c(c1)cnc2Sc3ccc(cn3)C#N,C42817490,P64720455
c1cn(nc1C(F)(F)F)c2cc(ncn2)Cl,C43298916,P65461757
c1cc(cc(c1)F)c2c3c(c(ncn3)Cl)on2,C49454169,P73841627
CC1=Nc2nc(nn2[C@H](C1)c3ccccc3)SC,C00040995,P76580472
c1cc(nnc1N2CCCC[C@@H]2C=O)Cl,C54268181,P81652289
c1cnc(c(n1)C#N)N2CCC[C@H]2C3CCCC3,C54379436,P81820404
Cc1c(nc2nc(nn2c1C)SC(C)C)C,C60867405,P93119054
Cc1c(c(nc(n1)c2cnccn2)Cl)C(C)C,C61689136,P94480256
C[C@@H](c1nnc2n1nc(cc2)Cl)C(C)C,C69688061,P107307802
CCc1nnc(n1[C@H]2COc3c2cccc3)Cl,C70530867,P108797612
c1cn2c(c(n1)Cl)nnc2C3CCCCC3,C70616329,P108927480
C[C@H](c1nnc2n1ccnc2Cl)C(C)C,C70616350,P108927501
CCN1CCN(CC1)c2c(c(c(nn2)Cl)C)C,C71171099,P109868105
Cc1c(c(nnc1N2CCCO[C@@H](C2)C)Cl)C,C71187128,P109901225
Cc1c(c(nnc1N2CCCO[C@H](C2)C)Cl)C,C71187129,P109901226
c1cc2c(cc1c3cn4cc(ccc4n3)F)OCO2,C71570983,P110767479
c1ccc(cc1)C2=N[C@H]2n3c4ccccc4nn3,C06474828,P111427804
c1ccc2c(c1)nc(s2)N3CC(C3)n4cccn4,C71859654,P111472168
c1cc(sc1)c2nc3ncc4c(n3n2)CCCC4,C72451456,P112718088
CN(C)c1ccc(cc1)n2c3ccccc3nn2,C73740182,P114853152
c1cnc(nc1Oc2cc(cnc2)Cl)Cl,C81698715,P127449976
Cc1c(nc(nc1Cl)c2ncccn2)Cl,C82473914,P128886099
Cc1c(cn(n1)c2c(cnc(n2)Cl)F)Cl,C85786175,P134297449
Cc1cnc(nc1n2cc(cn2)Cl)Cl,C85788510,P134300341
Cc1cc(nc(n1)Cl)Sc2ncns2,C87514707,P136885271
C1CCC(C1)Oc2c(nnc(n2)Cl)Cl,C87966947,P137584867
c1cnc(cn1)n2c(c3c(n2)CCCC3)Cl,C87969695,P137587620
c1cc(nc2c1nc(c3n2cnc3)Cl)Cl,C90493948,P141503313
C[C@H]1C[C@@H](CN(C1)c2c(c(ncn2)Cl)C=O)C,C90825883,P142077790
Cc1c(c(nnc1N2C[C@H]3CC[C@@H](C2)O3)Cl)C,C90908994,P142200932
CCCN1C(=O)[C@@H]2CC[C@H]3CCCC[C@@H]3N2C1=O,C91357987,P142929400
Cc1c(cnn1C)c2nc(cc(n2)Cl)C(C)C,C93651493,P146686005
Cc1ccc(nn1)n2cc(cn2)c3ccc(cc3)F,C94576327,P148247941
c1cc(cc(c1)Cl)c2cnn(c2)c3ccncn3,C94576760,P148248374
c1nc2c(c(n1)N3CCCC[C@@H]3C=O)CCCCC2,C94888480,P148733965
C1CCC(C1)N2C(=O)C[C@@H]3CSCCN3C2=O,C94891433,P148736919
Cc1ccc(nn1)n2c(c(c(n2)C)C(C)C)Cl,C97100588,P153719389
