COc1ccccc1CN2C(=O)c3cc4cccc(c4cc3C2=O)OC,1,P10000002
c1cc(ccc1[C@H](C#N)c2c(cc(cn2)C(F)(F)F)Cl)[N+](=O)[O-],C00168584,P04680441
C[C@H](c1nc(no1)c2cccnc2)Oc3ccc(cc3Cl)Cl,C00070461,P05359148
c1ccc(c(c1)c2nnc3n2nc(s3)COc4ccc(cc4)F)Cl,C01122706,P05799720
c1cc2c(cc1Cl)nc(s2)Sc3ncc(s3)[N+](=O)[O-],C03046117,P05881220
c1ccc(cc1)/C=C(\C#N)/c2nc(cs2)c3ccc(cc3)[N+](=O)[O-],C04813940,P06964245
CC1CCN(CC1)c2cc(c(cc2[N+](=O)[O-])F)N3CCC(CC3)C,C04819117,P06979813
c1ccc(cc1)c2cc(c3ccccc3n2)c4nnc(o4)c5ccncc5,C00876403,P07349609
c1cc(cc(c1)[N+](=O)[O-])[C@@H]2N(C(=O)CS2)c3ccc(c(c3)Cl)F,C02485127,P07532201
c1cc(ccc1c2nnc3n2nc(s3)COc4ccc(cc4)F)Cl,C05346691,P07909146
CC1CCN(CC1)c2cc(c(cc2F)[N+](=O)[O-])N3CCCCCC3,C05855397,P08763855
Cc1ccc(cc1)S(=O)(=O)N(C)c2c(nc3ccccc3n2)Cl,C03148736,P09670368
Cc1cccc(c1)n2c(c(nn2)S(=O)(=O)c3ccc(c(c3)C)C)C,C09611295,P14725433
Cc1cccc(c1)n2c(nnc2SCc3cn4cccc(c4n3)C)C,C09568752,P15007897
c1ccc2c(c1)cnnc2SCc3nc(no3)c4ccc(cc4)F,C12914098,P18967795
Cc1ccc(c(c1)C)n2cnnc2SCc3nc4ccccc4o3,C12543257,P20641526
Cc1ccc(cc1F)c2nc(on2)CSc3nc4ccccc4n3C,C12547158,P20645807
CN(c1ccc(cc1)[N+](=O)[O-])C(=O)c2ccc(cc2F)Br,C20362469,P30338231
Cc1ccc(cc1)N(C)S(=O)(=O)c2cc(ccc2C)c3cnc(o3)C,C21032907,P31403197
C[C@H](c1cccc(c1)[N+](=O)[O-])N(C)C(=O)c2cccc(c2Cl)Cl,C21600522,P32201731
C[C@@H](c1cccc(c1)[N+](=O)[O-])N(C)C(=O)c2cccc(c2Cl)Cl,C21600524,P32201733
Cc1ccc(cc1)c2nc(on2)CS(=O)(=O)c3cc(c(cc3C)C)C,C23125806,P34316236
Cc1ccc(cc1)c2csc3c2c(ncn3)N(C)Cc4cc(on4)C,C23185354,P34395770
Cc1c2ccccc2c(nn1)Sc3nc(n(n3)c4ccccc4)C5CC5,C32888215,P48685499
Cc1ccc(cc1C)S(=O)(=O)N2CCC[C@@H]2c3cc(no3)C(C)C,C33086969,P48964592
CC(C)c1ccc(cc1)/C=c\2/c(=O)n3c(s2)nc(n3)c4cccnc4,C33161976,P49057271
c1cc(cnc1)c2ccc3c(c2)nc(o3)[C@H]4CCCN4C(=O)C5CCCC5,C34908251,P51819130
Cc1ccc2c(c1)s/c(=N/C(=O)c3ccnn3C(C)C)/n2CC#C,C38502279,P58263139
Cc1ccc2c(c1)cc(n2C(=O)OC(C)(C)C)c3ccnc(n3)Cl,C38580036,P58399665
Cc1ccc(c(c1)CSc2nnc3n2nc(cc3)c4ccco4)C,C38770713,P58707669
CCN(c1cccc(c1)F)c2c(cc(cn2)Br)[N+](=O)[O-],C44883877,P67660582
Cc1c2c(nc(c1C#N)SCc3nc(on3)C(C)(C)C)CCC2,C46587475,P70000332
COc1ccc(cc1)c2nnc3n2N=C(CS3)c4ccc(cc4)F,C00424468,P75530402
c1c2c(cc3c1OCO3)OCN(C2)CCOC45CC6CC(C4)CC(C6)C5,C54991654,P82794648
CC(C)(C)n1c(cc(n1)C(=O)N(C)c2nc3ccccc3s2)C4CC4,C55101615,P82995269
Cc1ccc(cc1I)/N=C/c2ccc(o2)[N+](=O)[O-],C59514128,P90598123
c1cc(ccc1CSc2ccc3nnc(n3n2)c4ccncc4)Cl,C36634357,P91779888
Cn1c2c(cn1)c(nc(n2)COc3cc(cc(c3)Cl)Cl)Cl,C63078827,P96848573
c1cc(ccc1[N+](=O)[O-])[S@](=O)c2c(cc(cn2)C(F)(F)F)Cl,C63120219,P96915250
CCCn1cnc2c1ccc(c2)c3nc(on3)c4ccc(c(c4)F)C,C35453676,P99299600
Cn1c(ccc1c2nnc(o2)c3ccco3)c4cc(ccc4Cl)Cl,C67299910,P103377828
COc1ccc(cc1)C2=Nc3ncnn3[C@H](C2)c4c(cccc4Cl)F,C02587570,P109846954
CCCSc1nc2ncc3c(n2n1)C[C@H](CC3=O)c4ccc(cc4)C,C72466962,P112739989
Cn1cc(c2c1cccc2)c3c(nnc(n3)c4ccco4)c5ccccc5,C05740708,P117197827
Cc1ccc(o1)C(=O)/C=C/c2csc(n2)c3ccc4c(c3)OCO4,C77563815,P121044690
CCN(C(=O)c1cc(c(s1)C)[N+](=O)[O-])C23CC4CC(C2)CC(C4)C3,C79142687,P123565685
c1ccc2c(c1)cc(o2)c3nc(on3)C[C@@H]4c5ccccc5CCO4,C88339146,P138161166
CC[C@H](c1nnc(s1)c2ccc(cc2C)[N+](=O)[O-])Br,C88808582,P138919499
c1cc(c(c(c1)Cl)Cl)CCc2nc(no2)c3ccc(cn3)C#N,C90096780,P140822847
c1cc(c(cc1Br)[N+](=O)[O-])OCc2cnc(s2)Cl,C94195160,P147621406
Cc1c(c(n(n1)C)Cl)/C=C/2\C(=O)OC(=N2)c3ccc(cc3)C(C)(C)C,C96133911,P151434703
