c1cc(c(cc1CCCc2ccc(c(c2)O)O)O)O,2,P10000004
Cc1c(ccc2c1nc(s2)NNC(=S)N)Cl,C22125033,P32909404
CC(C)CNc1c(cc(cc1Cl)Cl)C(=O)NN,C33494906,P49614192
Cc1nc2cc(c(cc2s1)N)N[C@H](CC(C)C)CO,C40774317,P61901535
Cc1ccc(s1)[C@@H](C)NC(=O)c2ccccc2NN,C51124088,P76555290
C[C@H](CC(C)C)NC(=O)c1cc(ccc1NN)Cl,C51127529,P76562847
Cc1ccc(c(c1)C(=O)Nc2ccc(cc2C)F)NN,C53007272,P79443811
CCC(CC)(CO)Nc1ccc2c(c1N)ncs2,C53045567,P79506621
CCN1C(=[NH2+])[C@H]([NH+]=C1C2CC2)c3ccc(cc3)[NH+](C)C,C51000006,P80715824
CC[C@@H](C)CNc1cc2c(cc1N)CCC(=O)N2,C54466811,P81952568
Cc1cc(ccc1NN)C(=O)N[C@H]2CCC[C@H](C2)C,C63059525,P96819471
CC1CCC(CC1)C[NH2+]c2ccc(cc2C(=O)[O-])N,C63151500,P96985001
Cc1cc(ccc1NN)C(=O)N[C@@H]2CC[C@H]([C@@H](C2)C)C,C68598289,P105269016
c1cc(c(cc1N)[NH2+]C[C@H]2C[C@H]3CC[C@@H]2C3)C(=O)[O-],C69515328,P106976102
CCNC(=O)c1ccc(cc1N[C@H](C)C(C)C)N,C70235839,P108262343
CCNC(=O)c1ccc(cc1N[C@@H]2CCC[C@@H](C2)C)N,C70238710,P108268357
CCNC(=O)c1ccc(cc1N[C@@H]2CCC[C@H](C2)C)N,C70238712,P108268361
C[C@H]1CCC[C@@H](C1)Nc2cc(ccc2C(=O)NC)N,C70238715,P108268370
C[C@H](C1CCCC1)NC(=O)c2cccc(c2NN)F,C70309448,P108385799
C[C@H]1CCC[C@H](C1)CCNC(=O)c2cc(c[nH]2)N,C70537197,P108808407
Cc1ccc(cc1Cl)NC[C@H](C)/C(=N/O)/N,C70603880,P108907001
Cc1cc(ccc1Br)N[C@H](C)/C(=N/O)/N,C70604103,P108907225
C[C@@H](/C(=N/O)/N)Nc1ccccc1Br,C70604291,P108907416
C[C@@H](C/C(=N/O)/N)Nc1ccc(cc1)Br,C70604296,P108907421
C[C@H](/C(=N/O)/N)Nc1cccc(c1Cl)Cl,C70604840,P108907967
C[C@H](/C(=N/O)/N)Nc1ccc(cc1Br)F,C70604887,P108908015
CC[C@@H](/C(=N/O)/N)Nc1ccc(cc1F)Cl,C70608879,P108912008
C[C@H](CN[C@@H](C)c1ccc(s1)Cl)/C(=N/O)/N,C70607833,P108918451
C#Cc1cccc(c1)N[C@@H](C/C(=N/O)/N)c2ccccc2,C78949221,P123227923
CC[C@H](/C(=N/O)/N)N[C@H](C)c1cccc(c1)Cl,C79003112,P123317251
CCC[C@@H]1CCCN(CC1)c2ccc(cc2N)C(=O)N,C79304334,P123852747
CNC(=O)c1ccc(c(c1)N[C@H]2C[C@H]3CC[C@@H]2C3)N,C80145624,P125190705
c1cc(c(cc1N)C(=O)[O-])[NH2+][C@@H]2C[C@H]3CC[C@@H]2C3,C80159556,P125218539
C/C(=N\N=C(N)N)/CC12CC3CC(C1)CC(C3)C2,C57932120,P131105520
c1cc2c(c(c1NC[C@@H]3CCCC[C@H]3O)N)ncs2,C85969025,P134605667
CC(C)(CCNc1cc(c(cc1F)F)F)/C(=N/O)/N,C87593270,P137010497
CC(C)(CCNc1cc(cc(c1F)F)F)/C(=N/O)/N,C87593272,P137010499
C[C@@H](c1ccccc1Cl)Nc2cccc(n2)NN,C87865784,P137446644
CC1CCC(CC1)CCNc2cccc(n2)NN,C87879783,P137469306
CC[C@H](/C(=N/O)/N)Nc1c(cc(cc1F)F)F,C88722647,P138773102
c1ccc(cc1)[C@H](CN[C@@H]2CCC=CC2)/C(=N/O)/N,C88748797,P138838878
c1cc2c(ccc(c2nc1)NC[C@@H]3CCC[C@@H]3CO)N,C89493416,P139891776
Cc1cc(c(nc1)NCC2(CCCCCC2)O)N,C90691399,P141861046
c1cc(cc(c1)NCc2c(ccs2)N)c3ccn[nH]3,C90960051,P142301538
CC[C@@](C)([C@H](c1cccnc1N)NC)[NH+]2CCCCC2,C91610055,P143392743
Cc1cc(c(nc1)N)[C@@H](C2(CCCCCC2)[NH+](C)C)O,C91653935,P143469324
CCCN1C(=[NH+]C[C@@]1(C)c2ccc(cc2)[NH+](C)C)N,C93358100,P146165623
Cc1c(c[nH]n1)CN[C@@H]2CCCC[C@@H]2[C@@H]3CCCC[NH2+]3,C93494893,P146406579
CC(C)N(Cc1cccs1)c2ccc(c(n2)N)N,C94260123,P147729451
CCc1ccc(cc1)N(C)c2ccc(c(n2)N)N,C94260333,P147729652
C[C@@H](c1ccc(cc1)Cl)N(C)c2ccc(c(n2)N)N,C94260427,P147729737
