c1cc(c(cc1CCCCCCc2ccc(c(c2)O)O)O)O,9,P10000009
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)NC(=S)NN,C04290277,P05635146
Cc1ccc(c(c1)C)NC(=S)NNC(=S)NC2CCCCC2,C06572804,P14088207
CC[C@@H](C)[C@H](C(=O)N[C@@H](C)C12CC3CC(C1)CC(C3)C2)NC(=O)N,C32960663,P48790615
CC[C@@H](C)[C@@H](C(=O)N[C@@H](C)C12CC3CC(C1)CC(C3)C2)NC(=O)N,C32960666,P48790618
CCCCC1CCC(CC1)C(=O)N[C@@](C)(CC)/C(=N/O)/N,C40373757,P61288839
Cc1ccc(cc1)SCCSc2nc(cc(n2)N)N,C40411295,P61337911
Cc1cc(cc(c1)Nc2c(c(ncn2)NCCC(C)C)N)C,C40682156,P61750439
C=CCNc1c(c(ncn1)Nc2cc(ccc2Cl)Cl)N,C40708957,P61793090
Cc1cccc(c1C)Nc2c(c(ncn2)NCCc3ccccc3)N,C40725818,P61824763
C[C@H](c1ccccc1)Nc2c(c(ncn2)NCCc3ccccc3)N,C40725857,P61824802
CC(C)C[C@@H](CO)[NH2+]C1[C@@H]2CCC[C@H]1C[NH+](C2)C(C)C,C40776614,P61904004
CC[C@H](C)Nc1c(c(ncn1)Nc2ccccc2Cl)N,C40781364,P61909712
CC[C@H](C)Nc1c(c(ncn1)Nc2ccccc2Br)N,C40781479,P61910124
CCCCC[C@H](C)Nc1cc2c(cc1N)CCC(=O)N2,C49096293,P73335334
C[C@@H](CCCC(C)C)Nc1cc2c(cc1N)CC(=O)N2,C49128736,P73380843
CCC[C@@H](CC)Nc1ccc(cc1N)S(=O)(=O)NC,C50399555,P75373455
CC[C@H](C1CCCCC1)NC(=O)c2c(c([nH]n2)C(C)C)N,C52332282,P78319022
CC[C@H](C1CCCCC1)NC(=O)[C@@H](C(C)C)/C(=N/O)/N,C52344550,P78334192
CCC[NH2+][C@H]1CC[C@H](C[C@@H]1C[NH+]2CCC[C@@H](C2)O)CC,C53877496,P81013555
CC[C@@H]1CC[C@H]([C@@H](C1)C[NH+](C)c2ccc(cc2)OC)[NH3+],C53874361,P81052566
CCCC1=[NH+][C@@H](C(=[NH2+])N1CCC)c2ccc(cc2)[NH+](C)C,C50996821,P92025350
CCCOc1ccc(cc1)[C@H](C)[NH+]2[C@@H](CCC[C@@H]2C[NH3+])C,C70150788,P108125595
C[C@@H](CCCC(C)C)Nc1cc(ccc1C(=O)NC)N,C70239371,P108269028
CCC[NH2+][C@](C)(CCC[NH+](C)c1cc(cc(c1)C)C)CO,C70339108,P108442897
C[C@H]1CCC[C@@H](C1)CCNC(=O)[C@@H](C(C)C)/C(=N/O)/N,C70550220,P108825382
C[C@H]1CCC[C@H](C1)CCNC(=O)c2c(ccc(n2)NN)Cl,C70550685,P108825847
CC[C@@H](C)[C@H](C(=O)NC1CCC(CC1)C(C)(C)CC)NC(=O)N,C71804845,P111324989
CC[C@H](C)[C@H](C(=O)NC1CCC(CC1)C(C)(C)CC)NC(=O)N,C71804846,P111324990
CC[C@@H](/C(=N/O)/N)Nc1ccccc1SC(F)F,C78952948,P123233677
c1ccc(cc1)[C@@H](C/C(=N/O)/N)Nc2ccc(cc2)Cl,C78956067,P123239057
Cc1ccc(s1)[C@@H](C)NC[C@@H](c2ccccc2)/C(=N/O)/N,C80794739,P126102961
C[C@H](CNC(=O)C1(CCCCC1)/C(=N/O)/N)C(C)C,C81108064,P126653271
CCCC[C@@H](CCC)CNC(=O)N[C@@H]1CCC[C@@H]1C(=O)N,C84909387,P132886652
CCCc1cc(nc(n1)SCCC(C)(C)C(=[NH2+])N)[O-],C87594621,P137019668
c1c(c(nc(n1)NN)NCCC2CCCCC2)Br,C87854915,P137416702
CC[C@H](C)C[C@H](C)Nc1cc2c(cc1N)NC(=O)CC2,C88295704,P138090854
CC(C)(C)[NH2+]CC1(CCCCCC1)C[NH+]2CCC[C@H](C2)O,C89564767,P139998088
CCCNC(=O)C[C@H](C(=O)N)NC1CCCCCC1,C91318067,P142861164
CCC[C@H]1CC[C@@H]([C@@H](C1)[NH+]2CCC[C@@H](C2)[NH+](C)C)[NH2+]CC,C91397906,P143016944
CCC[NH2+][C@H](c1cc(cnc1N)C)C(CC)(CC)N(C)C,C91615025,P143382644
CCC[NH2+][C@H]([C@H]1CCCc2c1[nH+]ccc2)C(C)(C)[NH+](C)C,C94137721,P147542994
CC(C)CC[NH+](c1ccc(cc1)/C(=N/O)/N)C2CCCC2,C94849050,P148666546
CCCCCC(C)(C)CNC(=O)c1c(c([nH]n1)C(C)C)N,C94983167,P148884987
C[C@H](c1ccc(cc1)c2ccc(cc2)[C@H](C)NO)NO,C96171244,P151504405
CC[C@@](C)([C@@H](C1CCCCCC1)NN)[NH+](CC)CC,C97583777,P154652002
CC[C@](C)([C@@H](c1cccc(c1Cl)Cl)NN)[NH+](CC)CC,C97583930,P154652155
CCC(CC)([C@H](c1cc(ccc1C)C)NN)[NH+](CC)CC,C97586878,P154655103
Cc1cc(cc(c1)C[C@@H](C2(CCCCC2)[NH+](C)C)NN)C,C97589175,P154657430
CC[C@H]1CCCC[C@H]1[C@@H]([C@@]2(CCC[C@@H](C2)C)OCC)[NH2+]N,C97666524,P154871216
CCCn1c(c(cn1)Br)[C@@H](C2[C@H]3[C@@H]2CCCC3)[NH2+]N,C97786003,P155197803
