CC(C)(C)N1C(=O)c2cc3cccc(c3cc2C1=O)OC,3,P10000003
c1ccc(c(c1)/C=C/2\C(=O)c3ccccc3S2)[N+](=O)[O-],C00106053,P04947979
CN(C)c1ccc(cc1)c2nnc(o2)c3ccccc3,C00033482,P05884410
Cc1c(sc2c1c3nnc(n3c(n2)C(C)C)SC)C,C00413743,P07043848
Cc1ccc2cc(ccc2n1)/N=N/c3ccc(cc3)N(C)C,C05019293,P07374805
c1cc(c2c3c1[C@@H]4C=CC[C@@H]4CN3C[C@@H]5[C@@H]2C=CC5)[N+](=O)[O-],C05390781,P08185197
Cc1c2c(nc(n1)N3C[C@@H](C[C@H](C3)C)C)C[C@@H](CC2=O)C,C10156856,P15471602
Cc1c(c2nc(c3ccccc3n2n1)N4CCCCC4)Cl,C12775243,P18774246
Cc1c(sc2n1c3ccccc3n2)/C(=N/OC(C)C)/C,C01398743,P20210755
c1ccc(cc1)c2c(n3ccsc3n2)/C=C/C=C(C#N)C#N,C12523702,P20378613
c1cc(ccc1c2nnc3n2nc(cc3)Cl)C(F)(F)F,C02565060,P23380845
CCC[C@H]1Cc2c(cc(c(n2)N3CCCCC3)C#N)CO1,C19873269,P29538464
c1ccc(cc1)c2c3c(nc(n2)N4CCOCC4)CCCC3,C20798129,P31028514
c1ccc(cc1)n2cc(cn2)/C=C/c3nc4ccccc4o3,C32743584,P48489613
CC(C)n1c2ccccc2n3c1nnc3SC(C)C,C33373704,P49414663
Cc1cc(c(c(c1)C)c2nnc3n2cnc(c3)Cl)C,C37325208,P55497546
c1ccc2c(c1)nc(o2)CCc3nc4ccccc4o3,C00354948,P56370716
CCC[C@@H]1Cc2c(cc(c(n2)N3CCCCC3)C#N)CO1,C19873267,P56678188
c1ccc2c(c1)c3c(o2)c(ncn3)Sc4ccccn4,C37868880,P56842234
c1cc(ccc1C(=O)c2ccc(s2)Cl)[N+](=O)[O-],C02514083,P65283599
Cc1cc(nc(n1)Cl)Sc2nc3ccccc3o2,C52815219,P79140863
c1cc(sc1)/C(=C(\c2ccc(cc2)[N+](=O)[O-])/Cl)/C#N,C52901882,P79290334
Cc1ccc2c(c1)c(cc(n2)N(C)Cc3c(nns3)C)C,C55153963,P83084883
c1ccc2c(c1)nc(o2)Sc3ccc4c(c3)OCCCO4,C59373522,P90284253
COc1nc(nc(n1)Cl)Sc2ccc(cc2)Cl,C61515238,P94186064
C[C@H]1CCC[C@@H](C1)N(C)c2nc(nc(n2)Cl)Cl,C61518559,P94189678
CCC1(CCN(CC1)c2nc(nc(n2)Cl)Cl)C,C62960489,P96626672
CC(=CC(=O)N1[C@@H]2CCCC[C@@H]2C[C@@H]1C(=O)OC)C,C42063225,P98573799
c1cc(oc1)c2nc(cs2)c3ccc4c(c3)OCO4,C25204533,P102023831
Cc1c(c(nnc1O[C@H]2CCC[C@H](C2)OC)Cl)C,C70328777,P108421075
c1cc2c(cc1c3nc4c(c(n3)Cl)CCCC4)nccn2,C70432559,P108605546
c1cnc(cn1)C(=O)c2cc3cc(cc(c3o2)Cl)Cl,C70477846,P108710355
Cc1c(c(nnc1N2CCN(CC2)C(C)(C)C)Cl)C,C71171496,P109868119
Cc1ccc(cc1)[C@H]2CC(=Nc3n2ncn3)c4ccccc4,C13122558,P110869752
Cc1ccc2c(c1)nc(n2C)c3ccc4c(c3)OCCO4,C71947336,P111651990
c1cc(ccc1c2ccnn2c3ccc(nn3)Cl)F,C73665986,P114726609
CC(C)(C)c1nc(on1)c2cnc(s2)c3ccsc3,C74122232,P115484476
c1ccc(cc1)c2c(nc(nn2)c3ccc(cc3)Cl)C#N,C75279455,P117207798
Cc1c(c(on1)C)[C@@H](C)C(=O)N2[C@@H](C[C@@H]3[C@@H]2CCCC3)C,C78793272,P122970292
Cc1ccc(cc1)/C=C\C2=N/C(=C/c3ccco3)/C(=O)O2,C33635004,P130278210
CC(C)(C)n1c2ccc(cc2nc1c3ccoc3)C#N,C86637000,P135609795
CC(C)(C)c1nc(sn1)N(C)c2ccc(cc2)C#N,C87639797,P137088235
C1CN(CCC1C(F)(F)F)c2nc(nc(n2)Cl)Cl,C88435053,P138324200
Cc1ccc(cc1)c2nc(nc(n2)Cl)N3CCCC3,C88674249,P138695457
C[C@@H](c1nnc(s1)c2c(nns2)C(C)(C)C)Cl,C88807179,P138918096
c1ccc2c(c1)c(sn2)n3c4ccccc4nc3CC#N,C90869752,P142138432
Cc1c2c(n(n1)C)n(c(n2)CCl)[C@@H]3CCCCC[C@@H]3C,C92548367,P144865172
CCc1c2c(n(n1)C)n(c(n2)CCl)[C@@H]3CCCC[C@@H]3C,C92578750,P144906395
CCn1c2c(c(n1)C)nc(n2c3cccc(c3C)C)CCl,C92592752,P144923520
CCn1c2c(c(n1)C)nc(n2C3(CCCCC3)C)CCl,C92593702,P144924470
Cn1c(nnc1/C(=C/c2ccccc2)/C#N)c3ccccc3,C96298756,P151836465
