c1cc(ccc1CCCCc2ccc(c(c2)O)O)Cl,3,P10000002
Cc1cccc(c1C)NC[C@H](c2ccc(cc2)C(C)C)O,C32129233,P47366157
C[C@@H]1CCCC[C@@H]1NC(=S)NC2CCCCCC2,C35082179,P52072247
C[C@H](c1ccc(cc1)O)Nc2ccccc2c3cccs3,C37075704,P55114430
c1ccc(c(c1)NC(=S)NC2CCCCCC2)Cl,C00612765,P56359218
C[C@H](c1cccc(c1)O)N[C@H](c2ccc(cc2)F)C(C)C,C36968231,P58825579
C[C@@H](CC(C)C)[NH2+]Cc1c2ccccc2ccc1[O-],C37264348,P59320468
CCc1ccc(cc1)c2c(sc(n2)C(CC)(CC)N)C,C41164072,P62469154
CC(C)c1ccc(cc1)[C@H](c2nc(cs2)C(C)(C)C)N,C41183287,P62516020
c1cc2c(cccc2O)c(c1)N[C@@H](c3cccs3)C4CC4,C42330966,P64027384
Cc1ccc(cc1O[C@@H](c2ccccc2)[C@@H](C)N)C(C)C,C42904279,P64872199
Cc1ccc(cc1)[C@@H]([C@H](C)N)Oc2ccc(c(c2)C)Cl,C42911250,P64874295
C[C@H]([C@@H](c1ccccc1F)Oc2ccc(cc2)C(C)C)N,C43046740,P65084345
C[C@H]([C@@H](c1ccccc1F)Oc2cccc(c2)C(C)C)N,C43046764,P65084382
Cc1ccc(c(c1)C)O[C@H](c2ccc(s2)Cl)[C@H](C)N,C43254805,P65424170
CCc1ccc(s1)[C@H](c2ccc(cc2)OC(C)C)N,C43639776,P65981762
CC[C@@H](C)[C@H](C)[NH2+][C@@H](C)c1ccc2ccccc2c1[O-],C49092296,P73348697
Cc1cc(c(c(c1)C)[C@H](C)Nc2ccccc2[C@H](C)O)C,C49542313,P73973484
CCCC1CCN(CC1)c2cc(ccc2C(=S)N)C,C51597695,P77311336
c1ccc2c(c1)c(cs2)[C@H](CO)NC3CCCCCC3,C54465904,P81971235
CCCOc1ccc(cc1)[C@@H](c2ccccc2Cl)N,C55264533,P83261427
C[NH+](C)c1ccc(cc1)NCc2cccc(c2Cl)Cl,C57611134,P86577734
CCC(C)(C)C1CCC(CC1)NC(=S)NC(C)C,C13775466,P90046261
C[C@H]([C@@](CC(C)C)(c1ccc(cc1)F)N)N2CCCCC2,C59604610,P90817907
CCC[C@H]([C@](C)(c1ccc(cc1)F)N)N2CCCCCC2,C59604769,P90819522
CC[C@@H]([C@](CC)(c1ccccc1F)N)N2CCCCCC2,C59605136,P90823904
CCC[C@H]([C@@](c1ccccc1F)(C(C)C)N)N2CCCC2,C59605251,P90824673
Cc1cc(ccc1F)N[C@@H](C)c2ccc(cc2)[NH+](C)C,C61117082,P93561328
C[C@@H](c1ccc(cc1[O-])F)[NH2+]C(C)(C)CC(C)(C)C,C62747488,P96285428
CC(C)c1ccccc1NCCNc2ccc(cc2)F,C66183467,P101795184
CC[C@H](C)[C@@H](c1ccccc1)[C@@H](c2c(c(c([nH]2)C)C)C)O,C69234052,P106449673
Cc1cc(c(cc1C)c2csc([nH+]2)NCC(C)C)C,C06671383,P108112111
C[C@H](c1ccc(s1)Cl)NCc2cccc3c2cc[nH]3,C70938773,P109485037
CC(C)(C)c1ccccc1NC[C@@H](c2ccccc2F)O,C71174391,P109870072
CC(C)[C@@H](c1ccccc1)[NH2+]Cc2c(cccc2Cl)[O-],C83551589,P130695024
CC[C@@H]1CCCC[C@@H]1[NH2+]Cc2c(cccc2Cl)[O-],C83551741,P130695292
CC(C)(C)CC(C)(C)[NH2+]Cc1c(cccc1Cl)[O-],C83551750,P130695306
CC(C)(C)[C@@H]1CCC[C@](CC1)(CO)NCc2cccs2,C86962085,P136123597
CCc1ccc(s1)[C@@H](C)NCC2(CCC(CC2)CC)O,C87061064,P136283982
CCc1ccc(cc1)c2csc(n2)c3ccc(cc3)CN,C88870686,P139021133
CC[C@](C)([C@H](c1ccc(cc1)F)NCC)[NH+]2CCCCC2,C91610288,P143377897
CCC(CC)([C@@H](c1ccc(cc1C)C)NC)[NH+](C)C,C91614225,P143381834
CC[C@H](C)CN(CC)c1ccc(c(c1)C(F)(F)F)N,C93250667,P145985206
C[C@](Cc1nc(cs1)C(C)(C)C)(c2ccc(cc2)F)N,C94254786,P147720647
CC[C@@H](C1CCCCC1)[NH2+]Cc2cc(c(c(c2)F)[O-])F,C94347885,P147873297
CC(C)Oc1cc(c(cc1F)N)Sc2cccc(c2)F,C94622682,P148317147
CC[C@H]1CCCC[C@@H]1[NH2+][C@@H](C)c2cc(ccc2[O-])F,C94617342,P148319213
Cc1ccccc1[C@@H](CSc2cc3ccccc3[nH]2)NC,C94630748,P148343761
CC(C)Oc1ccc(cc1)[C@@](C)(c2cc(cc(c2)F)F)N,C94829323,P148635618
CC(C)CN(c1cccc(c1C(=S)N)F)C2CCCC2,C94848534,P148666030
Cc1ccc(c(c1)C)[C@H](C)/[NH+]=C(\NC2CCCCC2)/[S-],C13931423,P155863041
