c1cc(ccc1C(=O)NCCc2ccc(c(c2)O)O)N,4,P10000004
c1cc2c(cc1[C@H](CC3CCCC3)[NH3+])NC(=CC(=O)N2)[O-],C19971631,P29719628
CCCCC[C@H](c1ccc2c(c1)NC(=CC(=O)N2)[O-])[NH3+],C20481455,P30546552
Cc1ccc(cc1)Sc2c(c(ncn2)NN)N,C40783368,P61914708
CC[C@H](C)[C@H](/C(=N/c1c(ccs1)C(=O)N)/[O-])[NH3+],C40859377,P62045499
CC1(C[C@@H]1Nc2cc(cc(c2)S(=O)(=O)N)N)C,C45118084,P67990321
C[C@](C[NH+](C)C1CCCCCC1)(C(=O)N)[NH2+]C,C45271902,P68252807
[H]/N=C\1/N[C@@H](NC(=S)N1)c2ccc(cc2OC)O,C34926988,P82741996
CC[NH+](CC)c1ccc(cc1)NC(=O)[C@@H](C)[NH3+],C58967433,P89290906
CC(C)(C)NC[C@H](c1cc(c(c(c1)O)O)CO)O,C77293390,P120588714
C[NH+](C)c1ccc(cc1)NCc2ccccc2/C(=N/O)/N,C78991208,P123299252
c1ccc(cc1)[C@H](C/C(=N/O)/N)NC2(CCCC2)CO,C78996232,P123348045
C[C@@H]1CCC[C@](C1)(C(=O)NC2CCC(CC2)C(=O)N)N,C80913400,P126385405
c1c2c(cc(c1N)NC[C@H]3CCCC[C@H]3O)NC(=O)C2,C85967950,P134603512
CCC[NH+]1CCC[C@@](CC1)(c2c(cc[nH+]c2N)C)O,C86852741,P135956173
c1cc(c(cc1F)/C(=N\O)/N)CNC[C@H]2CCC[C@H]2O,C89170162,P139462389
Cc1cc(ccc1NC(=O)[C@@]2(COC[C@@H]2[NH3+])C)[NH+](C)C,C90585649,P141724018
c1ccc(cc1)[C@@H](C[NH2+]C2CC(C2)[O-])/C(=N/O)/N,C91416044,P143041593
CCn1c(c(c([nH+]1)C)N)N[C@]2(CCC[C@H](C2)C)CO,C91555794,P143290939
C[C@@](C[NH2+][C@@H]1CCCC[C@@H]1[C@@H]2CCCCN2)(CO)O,C93495583,P146429166
CC(C)(C)Nc1c(ccc(n1)C(F)(F)F)C(=[NH2+])N,C94336733,P147857482
Cc1ccnc(c1[C@H](c2ccc(cc2)OC)NN)N,C97478861,P154405526
c1ccc(cc1)C2(CCC2)[C@H](c3cccnc3N)NN,C97525333,P154520903
c1cc(c(c(c1)Cl)C[C@H](Cc2cccnc2N)NN)F,C97523245,P154523807
Cc1ccnc(c1[C@H](Cc2ccc(cc2Cl)F)NN)N,C97523562,P154523872
c1cc2cc(ccc2nc1)[C@@H](c3cc(cnc3N)Cl)NN,C97531570,P154535880
c1ccc(c(c1)[C@@H]([C@@H]2CCCc3c2nccc3)NN)N,C97537330,P154542034
c1ccc(c(c1)[C@H]([C@@H]2CCCc3c2nccc3)NN)N,C97537331,P154542035
c1ccc(cc1)SC[C@H](Cc2cccnc2N)NN,C97541552,P154561621
Cc1ccnc(c1[C@@H]([C@@H]2Cc3c2cccc3)NN)N,C97538690,P154563313
c1ccc2c(c1)[C@@H](CCO2)[C@H](c3cccnc3N)NN,C97561620,P154614240
c1cc(cc(c1)SC[C@@H](Cc2cccnc2N)NN)F,C97565897,P154620910
Cc1ccnc(c1[C@@H](C2CCC(CC2)(C)C)NN)N,C97557782,P154624231
c1ccc2c(c1)CC[C@@H](C2)[C@@H](c3cccnc3N)NN,C97564135,P154627248
CC1(C[C@H](C(O1)(C)C)[C@@H](C(C)(C)[NH+]2CCOCC2)N[NH3+])C,C97582333,P154665640
CC(C)([C@H]([C@H]1C[C@@H]1c2ccccc2)N[NH3+])[NH+]3CCOCC3,C97582405,P154665896
CC[C@](C)([C@H](c1cccnc1N)NN)N2CCCCC2,C97585311,P154676149
CCC(CC)([C@@H](c1cc(cnc1N)Cl)NN)N(C)C,C97586544,P154676520
CN(C)C1(CCCC1)[C@@H](c2cc(cnc2N)Cl)NN,C97587676,P154676920
Cc1ccnc(c1[C@H](C2(CCCC2)N(C)C)NN)N,C97587782,P154676943
CN(C)C1(CCCCCC1)[C@H](c2cnccc2N)NN,C97591284,P154677980
CC(C)([C@H](c1c(cnn1C)Cl)N[NH3+])[NH+]2CCCCC2,C97581855,P154679283
CC[C@@](C)([C@H](c1ccc(nc1)C)N[NH3+])[NH+]2CCCCC2,C97585398,P154681251
C[C@H]1CCC[C@](C1)([C@@H](c2c(cnn2C)Cl)N[NH3+])[NH+](C)C,C97590798,P154683965
Cc1ccnc(c1[C@@H](c2ccc(cc2F)OC)NN)N,C97614491,P154723397
Cc1c(sc(n1)C[C@@H](c2cc(ccc2N)F)NN)C,C97628854,P154741042
c1cnc(cc1C[C@H](c2cc3c(ccs3)nc2)NN)N,C97613531,P154763840
c1ccc2c(c1)C[C@H](O2)[C@@H](Cc3ccnc(c3)N)NN,C97628406,P154765718
COc1ccc(cc1[C@H](c2cc(ccc2N)F)NN)F,C97638551,P154788280
CCO[C@@H](C1CCCCC1)[C@H](c2c(ccnc2N)C)NN,C97669956,P154881563
CCn1cc(cn1)[C@@H](c2ccc(cc2)[NH+](C)C)N[NH3+],C97702255,P154983952
