Cc1ccc(cc1)C(=O)NCCc2ccc(c(c2)O)O,10,P10000001
C[C@@H]1CCc2c(c(c(s2)NC(=O)C(C)C)C(=O)N)C1,C04071871,P05100736
c1cc(ccc1N)NS(=O)(=O)c2ccc(c(c2)F)F,C03434814,P09242757
Cc1ccc(cc1NS(=O)(=O)c2ccc(s2)C)N,C20254667,P30170169
C[C@@H]1CCC[C@H]([C@@H]1C)NS(=O)(=O)c2ccc(cc2)N,C22218502,P33041750
Cc1c(c(c(c(c1C)C)S(=O)(=O)N[C@@H]2C[C@@H]2N)C)C,C36264934,P53889647
c1cc(ccc1NS(=O)(=O)c2cc(ccc2F)N)F,C37052644,P55080070
Cc1ccc(c(c1C)S(=O)(=O)NC2CCCC2)N,C37054636,P55082116
Cc1cc(ccc1S(=O)(=O)N[C@@H]2CCC[C@H](C2)C)N,C37254456,P55395983
c1cc2c(ccc(c2N)N3CCCC[C@@H]3CCO)nc1,C37377390,P55573516
C[C@H](c1cccc(c1)N)Nc2c3ccsc3ncn2,C37673115,P56024163
C[C@@H](c1ccc(cc1)N)Nc2c3ccccc3cnn2,C37673280,P56027131
C[C@@H](c1ccc(cc1)N)Nc2nc3ccccc3o2,C38074704,P57248588
CN(C)c1ccc(cc1)Nc2ccc(cc2C#N)N,C41021115,P62255427
Cc1c(c(n(n1)C)N[C@H](C)c2ccc(s2)Cl)N,C42586463,P64404866
[H]/N=C(\c1cc2c(nc1N(C)C3CCCC3)CCCC2)/N,C43410388,P65659679
c1cc(cnc1)[C@H]2C(=[NH2+])N(C(=[NH+]2)C3CCCC3)C4CC4,C51002335,P76347037
C#CCN1C(=[NH2+])[C@H]([NH+]=C1C2CCCC2)c3cccnc3,C51002533,P76347235
Cc1ccc(o1)CNc2ccc(c3c2ccnc3)N,C53035928,P79525485
C1CC[C@H]([C@H](CC1)NC2CCC(CC2)C(=O)N)C#N,C54825992,P82546583
CC[C@H]1CCCC[C@@H]1NC(=O)c2c(nc(s2)N)C,C55172407,P83111784
CC[NH+](c1ccc2c(c1)NC(=O)[C@H]2O)C3CCCCC3,C36193959,P90246560
COc1c(ccc(n1)N[C@@H]2CCCc3c2ccs3)N,C61360953,P93935611
C[C@](c1[nH]cc(n1)c2cccc(c2)C#N)(C3CC3)N,C70092755,P108055622
CCC[C@H]1C[C@](CCO1)(c2cc(cnc2N)Cl)O,C70405471,P108541173
Cc1cccnc1[C@@H](c2cc(cnc2N)Cl)NC,C70406064,P108550616
c1cc(sc1CN2CCCC[C@H]2/C(=N\O)/N)Cl,C79812638,P124700977
C[NH+](C)c1ccc(cc1)NC(=O)[C@H]2Cc3ccccc3N2,C82334895,P128631193
CC[C@H](C)c1nc(c2c3c(sc2n1)CCC3)NN,C82562791,P129027344
C[C@H]1CC[C@@H](C[C@@H]1C)NS(=O)(=O)c2ccc(cc2)N,C85040393,P133072986
CC(C)[C@H]1CCC[C@](CC1)(C(=O)N)N2CCNCC2,C86949442,P136124811
Cc1cc(sc1C)CNc2c(cc(cn2)N)C#N,C87579264,P136986897
C[C@H](C(C)(C)O)Nc1cc2c(cc1Cl)NC(=O)C2,C87817810,P137355507
C[C@@H](c1cccc(c1)F)Nc2c3ccc(cc3ncn2)N,C87820560,P137372554
c1cc(sc1)Sc2c(cnc(n2)NN)Cl,C87889542,P137475883
Cc1c(ncnc1Sc2cc(ccc2F)F)NN,C87891223,P137477576
Cc1nc(cc(n1)S[C@@H]2CCC[C@H](C2)C)NN,C87893928,P137480281
CC[C@@H]1CC[C@@H](C1)c2nc3c(c(n2)NN)CCCC3,C88038744,P137689271
C[C@H]1CC[C@H]([C@@H](C1)NC(=O)[C@@]2(COC[C@@H]2N)C)C(C)C,C90587201,P141705905
c1ccc2c(c1)C[C@@H]2CNc3c4ccc(cc4ncn3)N,C90992143,P142361942
Cc1ccnc(c1[C@@H](C2(CCCCCC2)N(C)C)O)N,C91653732,P143480107
Cc1ccc(n1/N=C(/[C@](C)(c2ccccc2)[NH3+])\[O-])C,C91787765,P143711545
CC[C@H]1CCCCN1c2cccc(c2/C(=N/O)/N)F,C93408236,P146262051
CC[C@H]1CCCN(CC1)c2cccc(c2/C(=N/O)/N)F,C93408504,P146262319
C[C@@H](c1ccsc1)Nc2nc3cc(ccc3o2)N,C94352276,P147879847
c1ccc2c(c1)C[C@@H]2CNc3nc4cc(ccc4o3)N,C94352638,P147880210
Cc1c(nc(nc1NN)c2ccccc2C3CC3)C,C94526900,P148173236
c1cc2c(cc1Cl)cc(o2)[C@H]([C@H]3CCCOC3)NN,C97554749,P154606078
C1CCC2(CC1)C[C@@H](CCO2)[C@@H]([C@@H]3CCCCO3)NN,C97765929,P155136801
c1cc(c(cc1F)N)NS(=O)(=O)C2CCCC2,C97834691,P155278831
Cc1ccc(cc1CN2CCC[C@H](C2)/C(=N/O)/N)F,C97849656,P155309704
