c1cc(c(cc1CCCCc2cc(c(c(c2)O)O)O)O)O,2,P10000004
CCC(C)(C)NC(=O)[C@@H](C)Sc1nc(cc(n1)N)N,C31356106,P46193596
CCC[C@@](C)(C(=O)Nc1ccc(cc1)c2cc([nH]n2)[O-])[NH3+],C37622220,P55941859
CC(C)(C)[C@H](c1ccc(cc1)F)NC(=O)[C@@H](CC(=O)N)N,C37630605,P55969133
Cc1ccc(cc1Cl)Nc2cc(cc(c2)S(=O)(=O)N)N,C37934088,P57001968
c1c(cc(cc1NC2CCCCCC2)S(=O)(=O)N)N,C37934159,P57002039
c1cc(c(cc1Cl)Nc2cc(cc(c2)S(=O)(=O)N)N)F,C37934203,P57002083
CC(C)(/C(=N/O)/N)NC(=O)NC12CC3CC(C1)CC(C3)C2,C40375511,P61291007
Cc1ccc[nH+]c1Nc2c(c(nc[nH+]2)N(C)Cc3ccccc3)N,C40662320,P61729452
CCCCN(C)c1c(c([nH+]cn1)Nc2cccc[nH+]2)N,C40730306,P61852355
Cc1ccc[nH+]c1Nc2c(c(nc[nH+]2)N3CCC[C@@H](C3)C)N,C40730848,P61852497
Cc1cccc(c1C)Nc2c(c(ncn2)NNC(C)(C)C)N,C40755192,P61872732
C[C@H](c1ccccc1)Nc2c(c(ncn2)NNC(C)(C)C)N,C40760478,P61878018
c1ccc(cc1)NNc2c(c(ncn2)NC3CCCC3)N,C40757617,P61883825
C[C@H]1CCCC[C@H]1CNc2cc(cc(c2)S(=O)(=O)N)N,C42860149,P64789344
Cc1ccc(s1)[C@@H](C)Nc2ccc(cc2N)S(=O)(=O)N,C49152956,P73414691
c1cc(c(cc1Cl)N)CSc2[nH]c(=O)cc(n2)N,C50443931,P75431242
Cc1ccc([nH+]c1)Nc2c(c(nc[nH+]2)N(C)c3ccccc3)N,C40757878,P82071217
CCC[C@@H](C(=O)Nc1ccc(cc1)[NH+](CC)C(C)C)[NH3+],C58427672,P88252363
CC[NH+](CC)c1ccc(c(c1)O)[C@H]2c3c([nH+]c[nH]3)CCN2,C65376496,P100500591
c1cc(ccc1Nc2ccc(cc2N)N)OC[C@@H]3CCCO3,C66153330,P101757002
C[C@H](CC1CC1)Nc2ccc(cc2N)S(=O)(=O)N,C70101051,P108059504
C[C@H]1CC[C@@H]([C@@H](C1)C)Nc2cc(cc(c2)S(=O)(=O)N)N,C70111428,P108070001
[H]/N=C(\N)/Nc1nc(c(s1)C)c2ccc(cc2)NC(=O)C(C)C,C74180857,P115590796
CC[NH+](CC)c1ccc(cc1)NC(=O)CC2(CCCC2)[NH3+],C84165968,P131693153
CC[NH+](c1ccc(cc1)NC(=O)CC(C)(C)[NH3+])C(C)C,C84184516,P131723807
C[C@@H]1CC[C@@H](C[C@@H]1C)Nc2cc(cc(c2)S(=O)(=O)N)N,C85041114,P133073707
CC[NH+](c1ccc(cc1)NC(=O)[C@@H]2CCC[C@@H]2[NH3+])C(C)C,C85371557,P133578241
CC[NH+](c1ccc(cc1)NC(=O)[C@@H](C[NH3+])C(C)C)C(C)C,C87532274,P136912187
CCC(CC)(CO)Nc1cc(nc(n1)SC)NN,C87869680,P137440380
c1c(cc(cc1Nc2c(cc(cc2F)F)F)S(=O)(=O)N)N,C88719530,P138769975
CC[C@](C)([C@@H](c1c(cc[nH+]c1N)C)NCC)[NH+](C)C,C91571093,P143303487
c1cc(c(cc1Nc2ccc(c(c2)N)S(=O)(=O)N)Cl)F,C93198372,P145910755
c1cc(ccc1Nc2ccc(c(n2)N)N)OC(F)F,C94259997,P147728007
Cc1c(cc(cc1S(=O)(=O)N)N)NC2CCCCC2,C94359542,P147889635
Cc1ccc(cc1C)Nc2cc(cc(c2C)S(=O)(=O)N)N,C94359666,P147889759
Cc1c(cc(cc1S(=O)(=O)N)N)N[C@H](C)CCCC(C)C,C94359934,P147890027
CC[NH+](CC)c1ccc(cc1)Nc2c(c(nc[nH+]2)OC)N,C94731108,P148487129
C[C@@H]1CCC[C@@](C1)(CO)Nc2[nH]c3cc(ccc3n2)N,C94770886,P148544592
Cc1c(c(n[nH]1)NC(=O)Nc2ccc(cc2)C(F)(F)F)N,C95030451,P148980856
Cc1cc(c(nc1)N)[C@@H](C23CC4CC(C2)CC(C4)C3)NN,C97520863,P154523614
COc1cc(cc(c1)OC)[C@@H](c2ccc(cc2N)Cl)NN,C97537801,P154542505
COc1cc(cc(c1)OC)[C@H](c2ccc(cc2N)Cl)NN,C97537802,P154542506
Cc1cc[nH+]c(c1)[C@H]([C@@H]2CC(OC2(C)C)(C)C)N[NH3+],C97534005,P154551915
CC(C)C1CCC(CC1)[C@H](c2cc(cnc2N)Cl)NN,C97558921,P154611262
CC(C)(C)C1CCC(CC1)[C@H](c2cc(cnc2N)Cl)NN,C97559300,P154611636
CC[C@@](C)([C@@H](c1ccccc1OC(C)C)N[NH3+])[NH+](C)C,C97583137,P154680064
CC[C@@](C)([C@H](c1ccc(cc1)Cl)N[NH3+])[NH+]2CCOCC2,C97585886,P154681601
CCCOc1ccc(cc1)[C@H](c2cc(ccc2N)F)NN,C97638634,P154788363
CC[C@@H]1CCCC[C@H]1[C@@H](c2c([nH+]n(c2C)C)C)N[NH3+],C97738250,P155069917
C[C@H](c1ccc(cc1)NC(=O)N)NC(=O)NC2CCCC2,C98150361,P156042255
