c1ccc(c(c1)C(=O)NCCc2ccc(c(c2)O)O)N,5,P10000005
c1cc(ccc1[C@@H](c2c(n[nH]c2O)N)O)Cl,C18195761,P53600137
C1C2CC3CC1CC(C2)C3NC(=O)[C@@H](CC(=O)N)N,C37629120,P55968550
C1C[C@@H](C[C@H](C1)NC(=O)[C@@H](CC(=O)N)N)C(F)(F)F,C37629954,P55968885
C[C@H](c1ccc(cc1)N)Nc2ccccc2S(=O)(=O)N,C37673383,P56024446
CC[C@H](C(=O)Nc1ccc(cc1)[NH+](CC)CC)[NH3+],C57690134,P86736219
C[C@H](c1ccsc1)Nc2cc(cc(c2)S(=O)(=O)N)N,C61361382,P93936040
C[C@H]1CC[C@@H]([C@@H](C1)C)NC(=O)[C@@H](CC(=O)N)N,C70114636,P108087914
Cc1cc[nH+]c(c1[C@H](c2ccc(cc2)[NH+](C)C)O)N,C70401624,P108557080
c1c[nH]c2c1c(cc(n2)N)c3cc(sc3)C(=O)N,C72172626,P112089895
CC[C@H](/C(=N/O)/N)NC1(CCC(CC1)C)CO,C78995317,P123334232
C[C@H]([C@@H](CNC(=O)NC12CC3CC(C1)CC(C3)C2)N)O,C80736082,P126039659
c1cc(ccc1NC(=O)CS/C(=N\N)/N)Cl,C83589999,P130758268
CCC(CC)(C#C)NC(=O)CS/C(=N/N)/N,C83590447,P130758849
c1cc2c(c(c1NC(CO)CO)N)ncs2,C83690363,P130913017
Cc1cc(ccc1NC(=O)[C@@H]2CCC[C@@H]2[NH3+])[NH+](C)C,C85360275,P133607954
CCC[NH+]1CCC[C@@](CC1)(c2c(cc[nH+]c2N)C)O,C86852741,P135956173
CC1CCC(CC1)(CNC[C@@H](C)/C(=N/O)/N)O,C87074755,P136290330
[H]/N=C(/N)\Nc1ccc2cn[nH]c2c1Br,C89200538,P139506926
c1c2c(cc(c1N)NC[C@@H]3CCC[C@H]3CO)NC(=O)C2,C89491207,P139889534
c1c2c(cc(c1N)NC3CC(C3)O)NC(=O)CC2,C91450074,P143108649
CC[C@](C)([C@@H](c1c[nH+]ccc1N)NC)[NH+](C)C,C91570501,P143302895
CC1CCC(CC1)([C@H](Cc2cccnc2N)[NH3+])N(C)C,C91648814,P143473387
C[C@@H](C[C@H]1CCCCC[NH2+]1)NCc2[nH]cc[nH+]2,C93516642,P146447172
CN[C@@H](c1cc(c[nH+]c1N)Cl)[C@@H]2C[NH+](CCN2C)C,C93894396,P147165299
CC(C)([C@H]([C@@H]1CCc2c1[nH+]ccc2)[NH3+])[NH+]3CCOCC3,C94137875,P147543072
CC[C@@H](c1nccs1)Nc2ccc(c(n2)N)N,C94260541,P147728134
C[C@](c1ccccc1)(c2[nH]c3c(n2)ccc(n3)N)N,C94263851,P147732530
CC1(CCCC[C@H]1NC(=O)[C@H](CC(=O)N)N)C,C94328294,P147851337
c1cc(cc(c1)C(F)(F)F)[C@@H](c2cccnc2N)NN,C97483017,P154409951
Cc1cc(c(nc1)N)[C@H](c2ccc(c(c2)F)F)NN,C97486895,P154413864
c1cc(c(nc1)N)C[C@H](c2ccc(c(c2)F)F)NN,C97486845,P154432967
Cc1cc(c(nc1)N)[C@@H](c2cc(c(c(c2)F)F)F)NN,C97510001,P154467294
c1cc(c(nc1)N)C[C@H](C23CC4CC(C2)CC(C4)C3)NN,C97520846,P154523601
Cc1ccnc(c1[C@H](C(C)(C)c2ccccc2)NN)N,C97523961,P154523939
c1cc2cc(ccc2nc1)[C@@H](c3ccc(cc3N)Cl)NN,C97537827,P154542531
c1cc(c(cc1Cl)N)[C@H]([C@H]2CCOC3(C2)CCC3)NN,C97537902,P154542606
CC(C)(c1ccc(cc1)F)[C@@H](c2cccnc2N)NN,C97536893,P154555924
c1ccc2c(c1)[C@H](CCO2)[C@@H](c3cc(cnc3N)Cl)NN,C97561763,P154614404
Cc1ccnc(c1[C@@H](C2CCC(CC2)(C)C)NN)N,C97557782,P154624231
c1ccc2c(c1)CC[C@H]2[C@H](Cc3cccnc3N)NN,C97563738,P154627131
c1ccc2c(c1)CC[C@H](C2)[C@H](c3cccnc3N)NN,C97564138,P154627251
Cc1ccnc(c1[C@H](C(C)(C)N2CCCCC2)NN)N,C97581932,P154674630
Cc1cc(c(nc1)N)[C@H]([C@]2(CCC[C@@H](C2)C)N(C)C)NN,C97591029,P154677922
CC[C@@](C)([C@H](c1ccc([nH+]c1)C)NN)[NH+]2CCCCC2,C97585398,P154681252
CCn1c(ccn1)[C@H](C2(CCCCCC2)[NH+](C)C)N[NH3+],C97591439,P154684160
c1cc2cc(ccc2nc1)[C@H](c3cc(ccc3N)F)NN,C97638632,P154788361
CCn1ccnc1[C@@H](c2cc(ccc2N)C(F)(F)F)NN,C97640860,P154807182
Cc1ccnc(c1[C@@H]([C@]2(CCC[C@@H](C2)C)OC)NN)N,C97666007,P154881361
CC1(CCC(CC1)([C@@H](c2cccnc2N)NN)OC)C,C97667284,P154881437
C[NH+]1CCC[C@](CC1)(C[NH3+])N(C)CC2(CCC2)[NH+](C)C,C97926869,P155430118
