CC1(CC(=O)c2ccc(cc2O1)OCC[NH2+]C3CCCC3)C,2,P10000004
CC(C)c1ccc(cc1)NC(=O)CSc2[nH+]ccn2C,C00031901,P04980828
Cc1c(sc2c1c(ncn2)NCC3(CCCCC3)[NH+](C)C)C,C08063217,P12260977
CC[NH2+][C@H](C)c1c(cccc1F)n2c3ccccc3nn2,C34841835,P51703695
c1ccc(cc1)[C@@H]2C(=O)[NH+]=C(S2)N/N=C/c3ccc(cc3)F,C00510183,P56352237
Cc1ccc(cc1)C(=O)N[C@H](C)c2[nH+]c3ccccc3n2CC#C,C40185774,P60992392
CCn1c(c(c([nH+]1)C)[C@H](C)Nc2ccc(c(c2)Cl)C#N)C,C45169491,P68095323
CC(C)(C)NC(=O)CSc1[nH+]c2cc(ccc2n1C)Cl,C48343770,P72328470
Cc1ccccc1C[C@H](C)Nc2nn3cc([nH+]c3s2)C,C49321374,P73668773
c1ccn2cc([nH+]c2c1)CNc3ccc(cc3)OC(F)F,C37326282,P88495622
c1cc(c(c(c1)Cl)n2cccn2)N[C@H]3CC[NH+](C3)C4CC4,C61983560,P95054160
Cc1cc(ccc1F)[C@@H](Cc2ccc(cc2)[N+](=O)[O-])[NH2+]C,C63057294,P96817240
c1ccc2=[NH+]CC(=c2c1)CC(=O)N/N=C/c3ccc(cc3)F,C63498930,P97503061
Cc1ccc(cc1)c2c[nH]c(n2)[C@@H]3COCC[NH+]3CC(C)(C)C,C67898679,P104247771
C1CCC(CC1)N(C2CCCCC2)C(=O)C[NH+]3CCC[C@H](C3)O,C48615567,P105146223
CCC[C@@H]1CN(C2(CCCCC2)C[NH2+]1)CCn3cccn3,C68702375,P105435616
CCC[C@@H]1C[C@H](CCO1)Nc2ccc[nH+]c2N3CCCC3,C70349172,P108453245
CC(C)[C@H]1C[C@H](CCO1)Nc2ccc[nH+]c2N3CCCC3,C70349191,P108453264
Cc1ccc(c2c1[nH+]c(s2)N(C)CC(=O)NCC=C)C,C70973801,P109531884
CC[C@@H]1CCCC[C@H]1[NH2+][C@@H](C)c2nnc3n2CCCCC3,C71160972,P109840134
CC[C@H]1CCCC[C@H]1[NH2+][C@@H](C)c2nnc3n2CCCCC3,C71160973,P109840135
Cc1cc(c(cc1C)O)C[NH+]2CCC(CC2)C(=O)N(C)C(C)C,C42095951,P111549138
CC(C)[NH+]1CCN(CC1)CC(=O)NC2CCCCCCC2,C45772043,P117763955
c1cc(cc(c1)[NH+]2CCCCCC2)NC(=O)/C=C/c3cccnc3,C76373200,P119162761
CC[C@H]1CCC[C@@H](C1)NC(=O)N(C)CC2CC[NH+](CC2)C,C77610493,P121110808
C[C@H]1CCN([C@H](C1)C)C(=O)NCCC[NH+]2CCC(CC2)C,C77756345,P121340745
CC[C@H]1CCC[C@H](C1)NC(=O)N(C)CCc2cccc[nH+]2,C77855890,P121497780
CC1CCC(CC1)N(C)C(=O)N[C@@H](C)C[NH+]2CCCCC2,C79291737,P123836778
CC[NH2+][C@@H]1CCCCC[C@@H]1Sc2nnc3n2CCCCC3,C81865855,P127676028
c1ccc2c(c1)CCN2c3ccc(cc3)NC(=O)C[NH+]4CCCC4,C51126502,P132357486
C[C@@H]1CCN([C@@H](C1)C)C(=O)N[C@@H](C)C(C)(C)C[NH+](C)C,C85366124,P133569821
C[C@H](C(C)(C)C[NH+](C)C)NC(=O)N1CC[C@H]2[C@@H]1CCCC2,C85425640,P133691764
Cc1ccccc1C[NH+]2CCC(CC2)NC(=O)N(C)C(C)C,C86363282,P135227099
Cc1c(c(n(n1)C(C)C)C)N[C@H]2CCC[NH+](CC2)C(C)C,C86841775,P135928891
C[C@@H](c1nnc2n1CCC2)[NH2+][C@@H]3CCC[C@@H](CC3)C(C)C,C86943327,P136086082
Cc1ccc(cc1F)[C@H](C)NC(=O)N(C)[C@@H](C)c2cccc[nH+]2,C87295009,P136592280
CC[C@H](C)CN(C)c1c(c[nH+]c(n1)NC)Br,C87809646,P137349206
CC[C@@H](C)[NH+](CC)c1c(cnc(n1)NC)Br,C87809503,P137355136
CC(C)CCN(C)c1c(c[nH+]c(n1)NC)Br,C87821574,P137376755
CC[C@H]1CCC[C@H](C1)c2nc(on2)[C@@H]3CCC[C@@H]3[NH2+]CC,C87994552,P137623743
CCc1c(c(n(n1)C)CN2C[C@@H]([NH2+]C[C@@H]2C)C(C)(C)C)Cl,C89346373,P139707780
CCc1c(c(n(n1)CC)CN2CC([NH2+]CC[C@@H]2C)(C)C)Cl,C89379647,P139750894
C[C@@H]1CN(C[C@H]1C)c2c(n3ccsc3n2)C[NH2+]C(C)(C)C,C92086645,P144176541
c1ccc2c(c1)nc(s2)c3ccc(o3)C[NH+]4CCC[C@@H]4CO,C92470665,P144750096
C[C@@H]1C[C@H](C[NH+]1C2CC2)Nc3cnn(c3)c4ccccc4F,C92845309,P145362701
CC(C)(C)OC(=O)N1CCCC[C@H]1[C@H]2CCCC[C@@H]2[NH2+]C,C93492731,P146404417
CCCC1CCC(CC1)c2nc(on2)CC3CC[NH2+]CC3,C93679628,P146734781
CCC[C@@H](c1cccs1)Nc2ccc3c([nH+]2)nccn3,C94267126,P147743078
c1ccc2c(c1)c(nc([nH+]2)c3cccs3)NCc4cccnc4,C15206184,P151567546
CC(C)(C)C[C@@H](C(F)(F)F)NC(=O)N1CCC[NH+](CC1)C,C97136487,P153779529
CC[C@@H]1CCCN(C1)C(=O)NC[C@H](C)[NH+]2CCC[C@@H](C2)C,C97428246,P154316155
