c1cc(c(cc1CCNC(=O)c2ccc(c(c2)O)O)O)O,9,P10000013
c1ccc2c(c1)cccc2N[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C04645956,P06488115
c1cc2c(cc1[C@@H](C3CCCC3)[NH3+])NC(=CC(=O)N2)[O-],C19971630,P29719627
c1cc2c(cc1[C@@H](c3ccncc3)[NH3+])NC(=CC(=O)N2)[O-],C19972426,P29719999
c1c(cc(c(c1F)NC(=O)[C@@H](CC(=O)N)N)Br)F,C37626117,P55967030
C[C@@H](c1cccnc1)Nc2cc(cc(c2)S(=O)(=O)N)N,C37934216,P57002096
c1cc2c(ccc(c2N)Sc3[nH]c(=O)cc(n3)N)nc1,C41027117,P62268447
Cc1cc(c(o1)C)[C@@H](C)Nc2ccc(cc2N)S(=O)(=O)N,C44729701,P67463425
CC1CCC(CC1)(/C(=N/O)/N)NC(=O)NC2CC2,C54457977,P81942498
C1Cc2c(sc(n2)NC(=O)[C@@H](CC(=O)N)N)C1,C49547701,P89039852
C[C@H]([C@@H](c1ccccn1)Sc2nc(cc(n2)[O-])N)[NH3+],C43345277,P89687123
c1c(cc(=O)[nH]c1[O-])C(=O)N[C@@H]2CCCCC[C@@H]2[NH3+],C63211644,P97074172
c1cc(sc1CNc2cc(cc(c2)S(=O)(=O)N)N)Cl,C71306810,P110232415
Cc1cccnc1CNc2cc(cc(c2)S(=O)(=O)N)N,C71339692,P110297220
c1c[nH]c2c1c(cc(n2)NCCO)c3cc(ccn3)N,C72157623,P112049672
c1ccc2c(c1)[nH]c(n2)Cc3ncc(c(n3)N)CN,C80846763,P126204975
c1c2c(cc(c1N)NC[C@H]3CCCC[C@@H]3O)nc[nH]c2=O,C85967066,P134601611
CC(C)(C(=O)[O-])C(C)(C)NC(=O)N[C@@H]1CCCC[C@@H]1[NH3+],C87624530,P137059679
CC(C)(C(=O)[O-])C(C)(C)NC(=O)N[C@H]1CCCC[C@@H]1[NH3+],C87624532,P137059681
CC(C)(C(=O)N)Nc1c(cnc(n1)N)Br,C87825616,P137367327
c1c(c(nc(n1)NN)N[C@H]2CCCC[C@H]2O)Cl,C87869386,P137440086
c1c(c(nc(n1)NN)NCC2(CCCC2)O)Br,C87883674,P137460964
C1CCC(CC1)(CNCC2(CC2)C/C(=N/O)/N)O,C88258614,P138030951
c1c2c(cc(c1N)NC[C@H]3CCC[C@@H]3O)nc[nH]c2=O,C89164633,P139450892
c1c2c(cc(c1N)NC[C@H]3CCC[C@@H]3CO)nc[nH]c2=O,C89492674,P139891003
c1c2c(cc(c1N)NC[C@@H]3CCC[C@H]3CO)nc[nH]c2=O,C89492676,P139891005
CC(C)n1c[nH+]cc1[C@@H](C[NH3+])N(C)C[C@@H]2CC[NH+](C2)C,C90210038,P141016353
c1c2c(cc(c1N)NCC3CC(C3)O)[nH]cnc2=O,C91424299,P143088305
c1cc2c(cc1N)[nH]cc2S(=O)(=O)NCC3CC(C3)O,C91500300,P143201108
c1c(nc(s1)N)CCNc2c3c(nc(n2)N)CCCC3,C91650528,P143466602
C1CC[C@@H]([C@H](C1)[NH3+])NC(=O)N[C@@H]2C[C@@H](C=C2)C(=O)[O-],C92184344,P144324302
c1cc2c(c(c1)N[C@@H]3CCC[C@@H](C3)[NH3+])c(=O)[nH]nc2[O-],C93209805,P145926644
c1cc2c(cc1N)CC[C@H]2Nc3ccc(cn3)S(=O)(=O)N,C94092775,P147448811
Cc1c(cc(cc1S(=O)(=O)N)N)NC2C(C2(C)C)(C)C,C94360913,P147891007
Cc1c(cc(cc1S(=O)(=O)N)N)N[C@@H]2CCN(C2)C,C94359908,P147896228
Cc1c(cc(cc1S(=O)(=O)N)N)NC[C@@H]2CCCCN2C,C94360086,P147896240
C[NH+](c1ccc(cc1)C(=[NH2+])N)[C@@H]2CCC[C@@H](C2)S(=O)(=O)C,C94637256,P148346211
C1CCC(C1)NC(=O)N[C@H]2CCC[C@H]2/C(=N\O)/N,C94892732,P148738221
C/C(=C/C(=O)Nc1ccc(cc1)Cl)/NNC(=O)N,C96444199,P152252479
Cc1ccnc(c1[C@H](c2ccc3c(c2)nccn3)NN)N,C97535219,P154539923
CC(C)c1ccc(cc1)[C@@H](c2cnn(c2N)C)NN,C97556528,P154593311
c1ccc2c(c1)C[C@@H](CO2)[C@H](c3cc(cnc3N)Cl)NN,C97562395,P154599460
Cn1c(c(cn1)[C@H](Cc2cc(cc3c2OCC3)Cl)NN)N,C97556299,P154607956
Cc1cc(c(nc1)N)[C@@H]([C@H]2Cc3ccccc3OC2)NN,C97562550,P154626836
CC[C@@](C)([C@H](c1c(ccnc1N)C)NN)N2CCCC2,C97584915,P154675987
CS(=O)(=O)[C@H]1CCC[C@@H](C1)[C@@H](c2cc(ccc2N)F)NN,C97638519,P154788248
CS(=O)(=O)[C@H]1CCC[C@H](C1)[C@@H](c2cc(ccc2N)F)NN,C97638521,P154788250
CCCOc1cc(cnc1)[C@@H](c2cc(ccc2N)F)NN,C97638657,P154788386
CCO[C@@]1(CCC[C@@H](C1)C)[C@@H](Cc2cccnc2N)NN,C97666781,P154881407
c1c(c(cc2c1oc(=O)[nH]2)NC3CCC(CC3)O)N,C97678038,P154897845
c1c(nc(nc1NC2CCC(CC2)O)NN)C(F)(F)F,C97678917,P154898769
