CCc1ccccc1N2C(=O)c3cc4cccc(c4cc3C2=O)OC,3,P10000002
Cc1cc(nc(n1)SCc2c(n3cc(ccc3n2)Cl)Cl)C,C00151944,P05093661
CC(C)CCn1c2c(nc3ccccc3n2)nc1c4cccs4,C00540525,P05945594
Cc1c2ccccc2oc1c3csc(n3)n4c(ccn4)C(F)(F)F,C03406261,P06118147
c1cc(ccc1C(=O)c2ccc(c(c2)[N+](=O)[O-])Br)Cl,C00087312,P06241906
CC(C)(C)c1ccc(cc1)C2=N/C(=C/c3ccc(cc3)N(C)C)/C(=O)O2,C03183060,P06460221
Cc1cc(cc(c1)c2nnc3n2nc(s3)c4cccs4)C,C02183268,P06578150
Cc1cc(ccc1Cl)OCc2nc(no2)c3ccc(cc3)Cl,C00455443,P06763477
c1cc(c(cc1C(=O)c2ccc(c(c2)Cl)Cl)[N+](=O)[O-])Cl,C00319073,P06978662
CN(c1nnc(s1)c2ccc(cc2)Cl)C(=O)C3CCCCC3,C01356433,P07108986
c1ccc2c(c1)nc(s2)S/C(=C/c3ccc4c(c3)OCO4)/C#N,C05050483,P07442438
c1cc(ccc1/C=C/c2nc3cc(ccc3s2)[N+](=O)[O-])Cl,C05130164,P07581660
Cc1ccc(cc1)c2nc3c(n2CC(C)C)nc4ccccc4n3,C00537247,P07629837
c1ccc(cc1)[C@@H]2Cc3c(cnn3c4nc5ccccc5s4)C(=O)C2,C05486671,P08127830
CC(C)CCSc1nc2c(c3c(s2)CCCC3)c4n1ncn4,C05574548,P08295898
c1ccc(c(c1)/C=N/n2c(nnc2S)c3cccc(c3)Cl)Cl,C02509407,P10283819
CC1(Cc2c(c3c(s2)c(nc(n3)SC)N4CCCCC4)CO1)C,C06662028,P10510664
Cc1cc(c2c(c1)n(/c(=N/C(=O)c3ccc(cc3)N(C)C)/s2)C)C,C07349623,P11412176
Cc1ccc(c(c1)CSc2nnc3n2CCN3c4ccccc4)C,C09574070,P14797012
c1cc(cc(c1)[N+](=O)[O-])/C(=C\c2ccc(c(c2)Cl)Cl)/C#N,C12393020,P18210466
