CCCCCCN1C(=O)c2cc3cccc(c3cc2C1=O)OC,9,P10000008
c1cc(ccc1/N=c\2/n(c(cs2)CCl)C[C@H]3CCCO3)F,C04206223,P05464046
CCSc1cc(nc2n1nc(c2)C(C)(C)C)C(F)(F)F,C00169345,P05801988
Cc1ccc(cc1)/N=c\2/n(c(c(s2)C(=O)C)C)CC=C,C04614632,P06365118
CC[C@H](c1ccccc1)c2nc(no2)c3ccc(cc3)Cl,C00310992,P07036271
CC(C)[C@@H](n1nc2ccccc2n1)Sc3ccccc3,C05284966,P07815636
c1ccc(cc1)N(c2ccccc2)c3nc(cs3)c4ccco4,C03442081,P08893530
C[C@H](C(=O)c1ccc(cc1)Cl)Sc2nc3ccccc3o2,C06060889,P09203003
c1ccc(cc1)/N=N/c2ccc(cc2)C(=O)CBr,C06095696,P09273869
CC[C@@H](n1c2ccccc2nn1)Sc3ccc(cc3)C,C06489317,P10185320
Cc1ccc(cc1)c2nc(on2)CSc3ccc(cc3)C,C07781567,P11925960
c1ccc(c(c1)c2nc(on2)CSc3ccc(cc3)Cl)Cl,C07910266,P12073843
c1ccc(cc1)N(Cc2ccco2)C(=O)c3ccc(cc3)Cl,C09387211,P14383539
Cc1ccccc1n2c(nnc2S[C@H](C)c3ccc(cc3)F)C,C10245602,P15805478
Cc1ccc(cc1)c2nc3ccccc3n2CC(=O)c4ccccc4,C00713285,P18976538
Cc1ccc(cc1)CSc2ccc3nc(cn3n2)c4ccccc4,C04251288,P20218162
Cc1ccc(s1)C(=O)N(CC=C)c2nc3ccccc3s2,C14250855,P21845699
c1ccc(cc1)C[C@H](c2cccs2)n3c4ccccc4nn3,C15774437,P23779380
CC[C@H]1CCCCN1S(=O)(=O)c2ccc(cc2)C3CCCCC3,C18005021,P47905138
Cc1ccc(c(c1)C)S(=O)(=O)N(c2ccccc2)c3ccccc3,C00399775,P51611791
Cc1ccc(cc1)SCc2ccc(c(c2)[N+](=O)[O-])Cl,C37404366,P55612176
CCc1ccc(cc1)[C@H]2c3cccn3CCCN2Cc4ccco4,C37523354,P55811024
c1ccc(cc1)[C@@H]2CC(=NN2c3ccc(cc3)C=O)c4ccccc4,C03898819,P56794850
C=CCn\1c2c(cccc2s/c1=N\C(=O)CC3CCCC3)F,C38873450,P58891637
CCN(c1nc2ccccc2s1)C(=O)c3ccc(cc3)C(C)(C)C,C39515734,P59898688
Cc1ccc(cc1)c2nc3cc(ccc3n2CCOC)Cl,C40404702,P61330866
CC[C@H](C)n1cc(c(n1)c2cc(c(cc2Cl)Cl)F)C=O,C40930863,P62125501
Cc1ccc(cc1)OS(=O)(=O)c2ccc(cc2)C3CCCCC3,C41091097,P62363720
c1cc(ccc1C(=O)[C@H]2CCS(=O)(=O)C2)SC(F)(F)F,C43299640,P65463247
C[C@@H]1CC[C@@H]([C@H](C1)OC(=O)[C@@]23[C@@H](C2(C)C)CCC3=O)C(C)C,C43762266,P66144398
C[C@@H](Cc1ccco1)n2c3ccc(cc3nc2[C@@H](C)Cl)Cl,C49146782,P73406422
Cc1csc(n1)N(c2ccccc2)C(=O)/C=C(\C)/c3ccccc3,C54892157,P82628901
c1ccc(c(c1)Cn2c3ccccc3nc2SCC#N)Cl,C05590719,P89283689
CC(=O)c1ccc(cc1)/N=C/c2cccn2c3ccc(cc3)Cl,C59248096,P89976193
CCN(c1ccc(cc1)F)C(=O)c2csc(n2)c3cccs3,C61211941,P93695056
c1cc(ccc1C[C@H](c2cc(ccc2F)F)Cl)[N+](=O)[O-],C62145857,P95356081
Cc1ccc(cc1[C@@H](Cc2ccc(cc2)[N+](=O)[O-])Cl)F,C62667322,P96136706
Cc1ccc(cc1)/C=N/c2ccccc2SC3=C(N=N[C@H]3C)C,C39412412,P97108504
CCN(c1ccccc1C)C(=O)c2csc(n2)c3cccs3,C73982005,P115260994
c1cc(oc1)[C@H]2CCCCCN2C(=O)CCc3ccc(s3)Cl,C76497427,P119318594
CCCc1c(nn(c1C)C(=O)c2ccc(cc2)c3ccccc3)C,C78546844,P122554496
Cc1ccc(c(c1)C)S[C@H](C)c2nnc(o2)c3cccs3,C78967990,P123260303
Cc1ccc(cc1)c2nc(cs2)CSc3ccc(nn3)Cl,C10653545,P131706295
CCC[C@@H]1CC[C@H]([C@@H](C1)S(=O)(=O)c2ccccc2Cl)C#N,C84240680,P131804577
CCCc1c(ncnc1Cl)O[C@@H]2CC[C@H]([C@@H](C2)C)C,C85017437,P133044159
CC(C)[C@H]1CCCN1c2nc(c(s2)C=O)C(C)(C)C,C88851040,P138984193
CCc1c(c(n(n1)C)C[C@@]2(CCC[C@H](C2)CC)C#N)Br,C89346759,P139708347
CCc1c(c(n(n1)CC)C[C@@]2(CCC[C@H](C2)C)C#N)Cl,C89379731,P139750978
CC(C)c1c(sc(n1)N2CC[C@H](C2)c3ccccc3)C=O,C93000811,P145594396
CC[C@@H]1CCCN(CC1)c2nc(c(s2)C=O)C(C)C,C93001030,P145594615
c1cc(ccc1c2nc(cs2)C(=O)N(C3CCCC3)C4CC4)F,C97138581,P153782409
