c1cc(ccc1CCCCc2ccc(c(c2)O)O)Br,8,P10000010
Cc1ccc(cc1)[C@H]([C@@H](c2ccccc2)c3ccc(cc3)NC)O,C05330886,P08013878
CC(C)c1ccc(cc1)NC(=S)Nc2ccc(cc2F)Cl,C05898567,P09184810
Cc1ccc(cc1)NC(=S)NC(c2ccccc2)c3ccccc3,C13820586,P21284267
C[C@H](c1ccc(cc1)O)N[C@@H](C)c2ccc(cc2Cl)Cl,C20546297,P30673754
CC[C@@H](c1ccccc1[O-])[NH2+][C@@H](C)c2ccc(c(c2)Cl)Cl,C20552043,P30674490
CC[C@H](c1ccccc1[O-])[NH2+][C@H](C)c2ccc(c(c2)Cl)Cl,C20552044,P30674492
c1ccc(c(c1)CC[NH2+]Cc2cc(cc(c2[O-])Cl)Cl)F,C21508749,P32086927
C[C@H](c1ccc(s1)Cl)NCc2cc(cc(c2O)Cl)Cl,C36992328,P54996737
CC[C@H](c1ccc(cc1)C)[NH2+]Cc2cc(cc(c2[O-])Cl)Cl,C37048180,P55072065
c1cc(c(nc1)SCCSc2cc(ccc2Cl)Cl)N,C37190832,P55303650
C[C@@](CO)(c1ccc(c(c1)Cl)F)Nc2ccc(cc2)Cl,C38119519,P57310734
c1cc(ccc1N[C@@H](CO)c2ccc(c(c2)Cl)Cl)Cl,C38119569,P57310784
C[C@]12CCCC([C@H]1CC[C@@]([C@@H]2CC[C@](C)(C=C)O)(C)O)(C)C,C03881343,P58341450
C[C@]12CCCC([C@@H]1CC[C@@]([C@H]2CC[C@@](C)(C=C)O)(C)O)(C)C,C04082639,P58372865
C[C@H]([C@@H](c1ccc(cc1)Cl)Sc2nc3ccccc3s2)N,C42949926,P64962412
Cc1cc(c(c(c1)O[C@@H](c2ccc(s2)Cl)[C@@H](C)N)C)C,C43256047,P65424973
Cc1ccc(c(c1)O[C@@H](c2ccc(s2)Cl)[C@@H](C)N)Cl,C43256402,P65425221
Cc1ccc(c(c1)O[C@H](c2ccc(s2)Cl)[C@@H](C)N)Cl,C43256404,P65425222
CC[C@@H](c1cccs1)NC[C@@H](c2cc(ccc2Cl)Cl)O,C49530483,P73952096
Cc1ccc(c(c1)NC(=S)Nc2cc(cc(c2)Cl)Cl)C,C13788218,P86845354
Cc1ccc(cc1)NC(=S)NCC23CC4CC(C2)CC(C4)C3,C07560930,P86890195
CC[C@H](C)c1ccc(cc1)NC(=S)NC2CCC(CC2)C,C13774998,P90045458
CC[NH+](CC)c1ccc(cc1)N[C@H]2CCCc3c2ccs3,C61326145,P93876072
CC(C)Oc1cccc(c1)[C@@H](c2cc(sc2Cl)Cl)N,C61666209,P94452488
C[C@H](c1ccccc1Cl)N(C)c2ccc(cc2CN)Cl,C62012074,P95149511
C[C@H](c1ccccc1F)N(C)c2ccc(cc2Cl)C(=S)N,C62796235,P96360763
c1cc(c(cc1NCCNc2ccc(c(c2)Cl)F)Cl)F,C66189405,P101804165
CC1=CC[C@@H]2[C@@](CCC[C@@]2([C@@H]1CC/C(=C/CO)/C)C)(C)CO,C71404382,P110451859
CC1=CC[C@@H]2[C@](CCC[C@@]2([C@@H]1CC/C(=C/CO)/C)C)(C)CO,C71404384,P110451862
Cc1ccc(cc1Cl)NC(=S)Nc2ccc(c(c2)C)Cl,C71761807,P111189015
Cc1ccc(cc1C)[C@@H](C)NC(=S)Nc2ccc(cc2)Cl,C13930824,P122371175
Cc1ccc(cc1)[C@@H](C)NC(=S)Nc2ccc(c(c2)Cl)C,C13816205,P122375467
C[C@@H](c1c(ccc(c1Cl)F)Cl)NCC2(CCCCC2)O,C78514760,P122494577
CCC[C@@H]1CCCN(CC1)[C@@H](c2ccc(s2)Cl)[C@@H](C)N,C79301293,P123878418
CC[C@H]([C@H](c1ccccc1Cl)Sc2ccc(cn2)Cl)N,C79424442,P124086381
CCC1CCC(CC1)(CNCc2cc(cc(c2)Cl)Cl)O,C87061393,P136286062
CC[NH2+][C@H](c1ccc(s1)Br)[C@@H]2[C@@H]([C@@H](O[C@@H]2C)C)C,C87214677,P136465173
Cc1c(cc(s1)Br)[C@H](c2cccc(c2)OC(C)C)N,C88646274,P138659938
Cc1ccc(cc1O[C@H](c2ccc(cc2)Cl)[C@@H](C)N)Cl,C88729041,P138796408
C[C@@H](c1c(ccc(c1Cl)F)Cl)NC[C@](C)(CC(C)C)O,C90270345,P141114812
C[C@@H](c1cc(c(cc1Cl)Cl)F)NC[C@@](C)(CC(C)C)O,C90267857,P141116301
Cc1cc(cc(c1)F)N[C@H](CO)c2cc(cc(c2)Cl)Cl,C91518403,P143210142
CC[C@](C)([C@H](c1ccc(cc1)Cl)NCC)[NH+]2CCCCC2,C91610348,P143377957
Cc1ccc(c(c1)OCCSc2cc(ccc2Cl)N)C,C91929934,P143911527
Cc1ccc(c(c1)SCc2cc(ccc2OC(F)F)Cl)N,C91933906,P143915513
CC1(C(C1(C)C)C[NH2+]Cc2cc(cc(c2[O-])Cl)Cl)C,C92805956,P145295166
CC(C)(C)c1csc(n1)C[C@@]2(CCC[C@@H](C2)C(F)(F)F)N,C94254941,P147720688
Cc1ccc(cc1F)[C@@H](C)NCc2cc(cc(c2O)Cl)Cl,C94953005,P148840889
c1cc(sc1)CN(c2cc(c(cc2N)Cl)Cl)C3CC3,C95023002,P148958772
C[C@@H](Cc1cccs1)/[NH+]=C(\Nc2ccc(cc2)Cl)/[S-],C13865532,P155838383
