COc1cccc2c1cc3c(c2)C(=O)N(C3=O)Cc4ccccc4,4,P10000006
c1ccc2c(c1)c(c(s2)c3nnc(o3)c4cccnc4)Cl,C00422217,P05249102
Cc1ccccc1c2nc3n(n2)c(=O)/c(=C/c4cccs4)/s3,C00498504,P05393611
c1ccc(cc1)[C@H]2CC(=O)n3c(nc(n3)c4ccc(cc4)F)S2,C00079110,P05423118
c1ccc(c(c1)c2cc(nc(n2)c3ccccn3)N4CCCCC4)F,C01498670,P05505132
Cc1ccc(c(c1)CSc2nc3ccc(cn3c(=O)n2)C)C,C04503687,P06111697
Cc1ccc(cc1)c2nnc3n2nc(s3)Cc4ccccc4F,C00385044,P06576671
c1ccc2c(c1)CC/C(=C/c3cc(ccc3Cl)[N+](=O)[O-])/C2=O,C04829469,P07001169
c1cc(ccc1C2=C/C(=C\c3ccc4c(c3)OCO4)/C(=O)O2)Cl,C05060914,P07462349
Cc1cc(n2c(n1)c(cn2)c3ccc(cc3)Cl)N4CCCC4,C02196835,P07899250
Cc1c(c2nc3c(c(n2n1)N4CCCCC4)CCC3)c5ccccc5,C02334123,P08047656
c1ccc(cc1)[C@H]2[C@H](N2c3ccccc3)n4c5ccccc5nn4,C05332024,P08134546
C[C@H]1CCc2c(c3c4ncnn4c(nc3s2)SCC(=C)C)C1,C05573397,P08293629
c1ccc(c(c1)[C@H]2N3CCCN3C(=O)N2c4ccc(cc4)Cl)F,C06737527,P10644205
Cc1cs/c(=N\c2cccc(c2)Cl)/n1N3CCOCC3,C07572756,P11688158
c1cc(cc(c1)F)/C=C/c2nc3ccc(cc3s2)[N+](=O)[O-],C07746484,P11885270
Cc1c(c2n(n1)[C@@H](CC(=N2)C)c3ccco3)c4ccc(cc4)Cl,C08570236,P13075522
CC1CCN(CC1)c2c(c(nc(n2)SC)c3ccccc3)C#N,C08844200,P13578478
c1ccc(c(c1)CSc2nnc3n2c4ccccc4s3)C#N,C09366204,P14349419
C[C@@H]1CCCCN1C(=O)c2c3c(on2)CC[C@H](C3)C(C)(C)C,C09597931,P14705532
c1ccc2c(c1)C(=O)/C(=C\c3cc(ccc3Cl)[N+](=O)[O-])/S2,C15938900,P24080565
C[C@@H]1C[C@H](CN(C1)S(=O)(=O)c2ccc(cc2)N=C=S)C,C19737303,P29277865
Cc1cc(c(c(c1)C)/C=N/n2cnc3c(c2=O)c(c(s3)C)C)C,C24038005,P35648155
Cc1c(sc2c1c(ncn2)N3CCN(CC3)C4CCCCC4)C,C13786972,P45384479
Cc1ccc(cc1)c2nnc(n2c3ccc(cc3)C)c4ccncc4,C00411320,P56365467
CSc1nc(c2c3c(sc2n1)CCCC3)N4CCOCC4,C02867421,P56565949
c1cc(oc1)Cn2c3cc(ccc3nc2c4ccco4)Cl,C40410080,P61336261
C[C@@H]1c2ccsc2CCN1c3ccc(cc3CCl)[N+](=O)[O-],C42773337,P64663474
Cn1c(nnc1S[C@H]2CCCc3c2cccc3)c4ccco4,C48275600,P72225837
Cc1cc(cc(c1)n2c(c(c(n2)C(=O)OC)Br)C)C,C49899335,P74590953
Cc1ccc(c(c1)C)N(C)S(=O)(=O)c2c(nc(s2)Cl)C,C49988404,P74759586
Cc1ccc(cc1)[C@H]2CC(=Nc3n2ncn3)c4ccc(cc4)Cl,C00054161,P75514982
c1ccc(cc1)c2nnc3n2N=C(CS3)c4ccc(cc4)Cl,C00532543,P75571842
Cc1ccc(cc1C)C2=Nc3ncnn3[C@@H](C2)c4cccc(c4)Cl,C02919272,P87590738
Cc1ccccc1[C@H]2CC(=Nc3n2ncn3)c4ccc(c(c4)C)C,C02919338,P87590991
Cc1cc(n2c(n1)nc(n2)S[C@H](C)c3ccc(c(c3)Cl)F)C,C59925350,P91398303
c1cc(nc(c1Cl)CSc2nnc3n2CCCCC3)Cl,C61640060,P94382306
Cc1ccsc1c2nn3c(nnc3s2)c4ccsc4,C66087708,P101668944
c1cc(ccc1c2cc3c(nccn3n2)N4CCCCCC4)F,C67284978,P103362019
Cc1ccccc1c2cc3c(nccn3n2)N4CCC(CC4)C,C67285402,P103362444
Cc1ccc(c(c1)OS(=O)(=O)c2ccc(c(c2)Cl)C#N)C,C71988817,P111732033
Cc1ccc(cc1Cl)c2nn3c(nnc3s2)C(F)(F)F,C73634363,P114668786
CN(c1ccc(cn1)Cl)C(=O)c2cnc(s2)c3cccs3,C76345664,P119078244
Cc1ccc(c(c1)C)N(C)C(=O)/C=C/c2cnc3ccccc3n2,C79160747,P123599468
c1cc(c(c(c1)Sc2c(cccn2)Br)[N+](=O)[O-])F,C79445415,P124099675
c1cc(nc(c1[N+](=O)[O-])c2c(ccs2)Br)Cl,C87571733,P136972594
CC(C)c1c(nc(nc1Cl)[C@@H]2COc3ccccc3O2)Cl,C87856131,P137421485
Cc1c2c(n(n1)C)n(c(n2)[C@@H](C)Cl)[C@@H](C)C3CCCCC3,C92547869,P144864674
CC[C@H]1CCC[C@H](C1)n2c3c(c(nn3C)C)nc2[C@@H](C)Cl,C92548295,P144865100
Cc1c2c(nc(s2)N3CCC[C@H](CC3)c4ccccc4)n(n1)C,C95509018,P150102520
c1ccc2c(c1)CCCN2C(=O)/C=C\c3nc4ccccc4o3,C96859744,P153238859
