CCCCCN1C(=O)c2cc3cccc(c3cc2C1=O)OC,6,P10000008
c1cc(ccc1[C@@H]2C[C@H]2C(=O)c3ccc(cc3)[N+](=O)[O-])Cl,C01382877,P05149054
CCc1ccc(cc1)/C=C(\C#N)/c2ccc(cc2)[N+](=O)[O-],C01114660,P07579662
CC[C@H](C)OC(=O)/C(=C/c1ccc(o1)c2ccc(cc2)C)/C#N,C02669716,P07709633
CCO[C@@H](/C(=C/c1ccccc1)/C)n2c3ccccc3nn2,C05334527,P07887544
C[C@H]1CC[C@@H]([C@H](C1)OCn2c3ccccc3nn2)C(C)C,C05376368,P07951390
c1ccc(cc1)/C=C/Cn2ccc(n2)c3ccc4c(c3)OCO4,C01394878,P08623224
c1cc(ccc1/C=C/c2csnn2)/C=C/c3csnn3,C05809317,P08687196
Cc1ccc(cc1)C(=O)O/N=C/2\C=C(C(=O)C=C2C(C)C)C,C00457560,P09662747
c1cc(cc(c1)[N+](=O)[O-])/C=C/C(=O)c2cccc(c2)Cl,C06340560,P09929092
Cc1ccc(c(c1)/C=C/C(=O)c2cccc(c2)[N+](=O)[O-])C,C06611805,P10416074
C[C@@H](c1ccccc1Cl)Sc2nnc(o2)c3ccco3,C06788190,P10712243
Cc1ccc(cc1C)C(=O)/C=C/c2ccc(cc2)[N+](=O)[O-],C08507933,P12984354
Cc1ccc(c(c1)C)C(=O)c2cc(c3n2cccc3)C(=O)OC,C13362753,P20519100
c1ccc(c(c1)c2nnc(n2C3CCCCC3)SCC#N)F,C03572757,P21705637
c1cc(ccc1CSc2ccc(cc2[N+](=O)[O-])C#N)Cl,C16401883,P24800317
CCCc1cc(no1)[C@@H]2CCCCCN2Cc3ccc(o3)C,C19525407,P28912838
Cc1ccc(c(c1)SCC(=O)c2ccc(cc2)[N+](=O)[O-])C,C35184518,P52213018
CC[C@@H](C)[C@H](c1ccccc1)c2nnc3n2nc(cc3)Cl,C37325127,P55497373
CCN(c1nc(c(s1)C(=O)OC)Cl)C2CCCCC2,C37579158,P55881799
Cc1ccc(c(c1)Oc2ccc(cc2CCl)F)[N+](=O)[O-],C38080817,P57256321
Cc1cc(ccc1[N+](=O)[O-])C(=O)Cc2c(cccc2Cl)F,C38125719,P57320837
c1cc(ccc1CC(=O)c2cc3c(s2)CCCC3)[N+](=O)[O-],C38126221,P57321343
C[C@H](c1ccccc1)Sc2nc3ccc(cc3s2)[N+](=O)[O-],C41107659,P62383781
c1cc(c(cc1[N+](=O)[O-])/C=C/C(=O)C2CCCCC2)Cl,C47833005,P71606788
c1ccc(cc1)c2nc(on2)c3ccc(cc3)OC(F)F,C48354362,P72338084
C[C@H](C(C)(C)C)N(C)c1nn2cc(nc2s1)C(C)(C)C,C49236385,P73544867
CN(c1ccc(cc1)F)c2ccc(cc2CCl)[N+](=O)[O-],C49965310,P74716605
CCOC(=O)Cc1csc2n1c3c(n2)CC[C@@H](C3)C(C)C,C54557228,P82098235
Cc1ccccc1Sc2c(nc3ccccc3n2)C(=O)OC,C57341225,P86078674
Cc1ccc(cc1C)Sc2ccc(cc2C=O)[N+](=O)[O-],C59974258,P91479910
Cc1ccc(c(c1)COc2c(nsn2)N3CCCCC3)C,C36650486,P91834441
CCOc1nc(nc(n1)Cl)Sc2ccc(cc2C)C,C61517555,P94188639
CCN(CC)c1nc(nc(n1)Cl)Sc2ccccc2F,C61543635,P94224573
Cc1cnn(c1)CCC(=O)O[C@H]2C[C@@H](CC[C@@H]2C(C)C)C,C72007762,P111767853
COC(=O)Cc1ccc2c(c1)nc(o2)c3ccc(cc3)Cl,C77287172,P120572353
CCc1ccc(c(c1)C(C)(C)C)OC(=O)c2cnccn2,C78229665,P122001551
Cc1c(nc(o1)c2ccco2)CN(CC3CC3)C4CCCCC4,C78458855,P122421125
CCC[C@H]1CCCN(CC1)Cc2ccc(c(c2)[N+](=O)[O-])Cl,C79340519,P123971276
Cc1ccc(cc1F)c2nc(on2)[C@@H](C)Sc3ccccn3,C84185390,P131725135
Cc1ccc(c(c1)CC(=O)c2cc(ccc2[N+](=O)[O-])C)C,C88147476,P137857405
CCN(CC)c1nc(nc(n1)Cl)c2cc(ccc2F)C,C88674355,P138695563
CC(C)(C)COC(=O)C1CCN(CC1)c2ccc(cn2)Cl,C89492932,P139891261
CCC1([C@H](C[C@H]1Cl)Oc2cc(ccc2C)[N+](=O)[O-])CC,C90836942,P142090809
CCCc1c2c(n(n1)C)n(c(n2)[C@@H](C)Cl)C[C@H](C)C(C)C,C92589431,P144920197
CC[C@@H]1CCC[C@](C1)(Cc2ccc(c(c2)F)[N+](=O)[O-])C#N,C94776036,P148548580
CCCn1c2ccc(cc2nc1c3cnn(c3)C(C)(C)C)Cl,C95352969,P149765144
c1ccc(cc1)/C=C\Cn2nc(nn2)c3ccc(cc3)Cl,C96449083,P152272809
CN(CC#N)S(=O)(=O)c1ccc(cc1)SC(F)(F)F,C97114278,P153744163
Cc1ccccc1c2nnc(n2Cc3ccco3)SCC=C,C98074134,P155848978
Cc1cccc(c1)c2nnc(n2Cc3ccco3)SCC=C,C98077536,P155853967
